College,Season,Coach,username,Coach,Role,Race
Air Force,2012,Jake Moreland,jake-moreland,Jake Moreland,Tight Ends Coach,Black
Air Force,2012,John Rudzinski,john-rudzinski,John Rudzinski,Outside Linebackers Coach/Recruiting Coordinator,White
Air Force,2012,Matt Weikert,matt-weikert,Matt Weikert,Inside Linebackers Coach,#N/A
Air Force,2012,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach/Assistant Head Coach,White
Air Force,2012,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2012,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach,White
Air Force,2012,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2013,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2013,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2013,Charlton Warren,charlton-warren,Charlton Warren,Defensive Coordinator/Defensive Backs Coach/Associate Head Coach,Black
Air Force,2013,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach/Associate Head Coach,White
Air Force,2013,Jake Campbell,jake-campbell,Jake Campbell,Offensive Backs Coach,#N/A
Air Force,2013,Jake Moreland,jake-moreland,Jake Moreland,Tight Ends Coach,Black
Air Force,2013,John Rudzinski,john-rudzinski,John Rudzinski,Outside Linebackers Coach/Recruiting Coordinator,White
Air Force,2013,Matt Weikert,matt-weikert,Matt Weikert,Defensive Line Coach,#N/A
Air Force,2013,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach/Assistant Head Coach,White
Air Force,2013,Steve Russ,steve-russ,Steve Russ,Defensive Coordinator/Inside Linebackers Coach/Assistant Head Coach,White
Air Force,2013,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2014,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
