"","College","Season","Coach","username","Coach.1","Role","Race"
"134","Arkansas",2006,"Gus Malzahn","gus-malzahn","Gus Malzahn","Offensive Coordinator/Wide Receivers Coach","White"
"135","Arkansas",2007,"David Lee","david-lee","David Lee","Offensive Coordinator/Quarterbacks Coach","White"
"136","Arkansas",2008,"Paul Petrino","paul-petrino","Paul Petrino","Offensive Coordinator/Wide Receivers Coach","White"
"137","Arkansas",2009,"Paul Petrino","paul-petrino","Paul Petrino","Offensive Coordinator/Wide Receivers Coach","White"
"138","Arkansas",2010,"Garrick McGee","garrick-mcgee","Garrick McGee","Offensive Coordinator/Quarterbacks Coach","Black"
"139","Arkansas",2011,"Garrick McGee","garrick-mcgee","Garrick McGee","Offensive Coordinator/Quarterbacks Coach","Black"
"140","Arkansas",2012,"Paul Petrino","paul-petrino","Paul Petrino","Offensive Coordinator/Quarterbacks Coach","White"
"141","Arkansas",2013,"Jim Chaney","jim-chaney","Jim Chaney","Offensive Coordinator/Quarterbacks Coach","White"
"142","Arkansas",2014,"Jim Chaney","jim-chaney","Jim Chaney","Offensive Coordinator/Quarterbacks Coach","White"
"143","Arkansas",2015,"Dan Enos","dan-enos","Dan Enos","Offensive Coordinator/Quarterbacks Coach","White"
"144","Arkansas",2016,"Dan Enos","dan-enos","Dan Enos","Offensive Coordinator/Quarterbacks Coach","White"
"145","Arkansas",2017,"Dan Enos","dan-enos","Dan Enos","Offensive Coordinator/Quarterbacks Coach","White"
"146","Arkansas",2018,"Joe Craddock","joe-craddock","Joe Craddock","Offensive Coordinator/Quarterbacks Coach","White"
"147","Arkansas",2019,"Joe Craddock","joe-craddock","Joe Craddock","Offensive Coordinator/Quarterbacks Coach","White"
"148","Arkansas",2020,"Kendal Briles","kendal-briles","Kendal Briles","Offensive Coordinator/Quarterbacks Coach","White"
"149","Arkansas",2021,"Kendal Briles","kendal-briles","Kendal Briles","Offensive Coordinator","White"
"150","Arkansas State",2000,"Randy Fichtner","randy-fichtner","Randy Fichtner","Offensive Coordinator/Quarterbacks Coach","White"
"151","Arkansas State",2001,"Phil Davis","phil-davis","Phil Davis","Offensive Coordinator/Quarterbacks Coach","White"
"152","Arkansas State",2002,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"153","Arkansas State",2003,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"154","Arkansas State",2004,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"155","Arkansas State",2005,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"156","Arkansas State",2006,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"157","Arkansas State",2007,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"158","Arkansas State",2008,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"159","Arkansas State",2009,"Doug Ruse","doug-ruse","Doug Ruse","Offensive Coordinator/Quarterbacks Coach","White"
"160","Arkansas State",2010,"Hugh Freeze","hugh-freeze","Hugh Freeze","Offensive Coordinator/Quarterbacks Coach","White"
"161","Arkansas State",2012,"Rhett Lashlee","rhett-lashlee","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White"
"162","Arkansas State",2013,"Bush Hamdan","bush-hamdan","Bush Hamdan","Offensive Coordinator/Quarterbacks Coach","Other"
"163","Arkansas State",2013,"Eliah Drinkwitz","eliah-drinkwitz","Eliah Drinkwitz","Offensive Coordinator/Running Backs Coach","White"
"164","Arkansas State",2014,"Glen Elarbee","glen-elarbee","Glen Elarbee","Offensive Coordinator/Offensive Line Coach","White"
