"","Coach","Race"
"391","Mike London","Black"
"392","Frank Beamer","White"
"393","Jim Caldwell","Black"
"394","Keith Gilbertson","White"
"395","Jimmy Lake","Black"
"396","Bill Doba","White"
"397","Paul Wulff","White"
"398","Don Nehlen","White"
"399","Bill Stewart","White"
"400","David Elson","White"
"401","Mike Sanford Jr.","White"
"402","Tyson Helton","White"
"403","Gary Darnell","White"
"404","Tim Lester","White"
"405","Barry Alvarez","White"
"406","Vic Koenning","White"
"407","Joe Glenn","White"
"408","Dave Christensen","White"
"409","Craig Bohl","White"
"410","Richard Bell","White"
"411","John Rudzinski","White"
"412","Joe Palmisano","White"
"413","Joe Tresey","White"
"414","Jim Fleming","White"
"415","Curt Mallory","White"
"416","Kevin Cosgrove","White"
"417","Matt Feeney","White"
"418","Joe Kines","White"
"419","Tosh Lupoi","White"
"420","Pete Golding","White"
"421","Charles Kelly","White"
"422","Nate Woody","White"
"423","Scot Sloan","White"
"424","Bryan Brown","Black"
"425","Dale Jones","White"
"426","Duane Akina","White"
"427","Larry Mac Duff","White"
"428","Greg Brown","White"
"429","Tim Kish","White"
"430","Jeff Casteel","White"
"431","Marcel Yates","Black"
"432","Don Brown","White"
"433","Phil Snow","White"
"434","Bill Miller","White"
"435","Craig Bray","White"
"436","Paul Randolph","Black"
"437","Ron West","White"
"438","Chris Ball","White"
"439","Keith Patterson","White"
"440","Marvin Lewis","Black"
"441","Bobby Allen","White"
"442","Dave Wommack","White"
"443","Reggie Herring","White"
"444","Willy Robinson","White"
"445","Robb Smith","White"
"446","John Chavis","White"
"447","Leon Burtnett","White"
"448","Jack Curtis","White"
"449","Kevin Corless","White"
"450","Joe Cauthen","White"
"451","David Duggan","White"
"452","Dennis Therrell","White"
"453","John Mumford","White"
"454","Chris Smeland","White"
"455","Payam Saadat","White"
"456","Jay Bateman","White"
"457","John Loose","White"
"458","Greg Gasparato","White"
"459","Shiel Wood","White"
"460","John Lovett","White"
"461","David Gibbs","White"
"462","Brian VanGorder","White"
"463","Charlie Harbison","Black"
"464","Bob Bartolomeo","White"
"465","Mark Smith","White"
"466","Doug Graber","White"
"467","Jay Hood","White"
"468","Kevin Kelly","White"
"469","Tim Daoust","White"
"470","Tyler Stockton","Black"
"471","Brick Haley","Black"
"472","Bob Trott","White"
"473","Bill Bradley","White"
"474","Larry Hoefer","White"
"475","Brian Norwood","Black"
"476","Ron Roberts","White"
"477","Bob Gregory","White"
"478","Ron Collins","White"
"479","Pete Kwiatkowski","White"
"480","Jeff Schmedding","White"
"481","Spencer Danielson","White"
"482","Kane Ioane","White"
"483","Bill McGovern","White"
"484","Jim Reid","White"
"485","Anthony Campanile","White"
"486","Tem Lukabu","Black"
"487","Mike Ward","White"
"488","Mike Elko","White"
"489","Shannon Morrison","Black"
"490","Kim McCloud","Black"
"491","Brian Ward","White"
"492","Marcus White","Black"
"493","Perry Eliano","Black"
"494","Eric Lewis","Black"
"495","Joe Reich","White"
"496","Thurmond Moore","Black"
"497","Tom Jones","White"
"498","Jimmy Williams","Black"
"499","Fred Reed","Black"
"500","William Inge","Black"
"501","Lou Tepper","White"
"502","Brian Borland","White"
"503","Chris Simpson","Black"
"504","Ken Schmidt","White"
"505","Jaime Hill","Black"
"506","Nick Howell","White"
"507","Ilaisa Tuiaki","Black"
"508","Lyle Setencich","White"
"509","Clancy Pendergast","White"
"510","Andy Buh","White"
"511","Art Kaufman","White"
"512","Peter Sirmon","White"
"513","John Milligan","White"
"514","Bart Bartolomeo","White"
"515","John Jancek","White"
"516","Mike Elston","White"
"517","Tim Banks","Black"
"518","Joe Tumpkin","Black"
"519","Greg Colby","White"
"520","Robb Akey","White"
"521","Matt Wallerstedt","White"
"522","Chip West","Black"
"523","Glenn Spencer","White"
"524","Brandon Cooper","Black"
"525","Marcus West","Black"
"526","Rick Smith","White"
"527","A.J. Christoff","White"
"528","Mark Criner","White"
"529","Mike Kolakowski","White"
"530","Hank Hughes","White"
"531","Robert Prunty","Black"
"532","Steve Clinkscale","Black"
"533","Marcus Freeman","Black"
"534","Mike Tressel","White"
"535","Brent Venables","White"
"536","Marion Hobby","Black"
"537","Mickey Matthews","White"
"538","Marvin Sanders","Black"
"539","Chad Staggs","White"
"540","Tom McMahon","White"
"541","Vince Okruch","White"
"542","Mike Hankwitz","White"
"543","Kent Baer","White"
"544","D.J. Eliot","White"
"545","Chris Wilson","Black"
"546","Larry Kerr","White"
"547","Steve Stanard","White"
"548","Al Simmons","Black"
"549","Marty English","White"
"550","Chuck Heater","White"
"551","Jerry Azzinaro","White"
"552","Scott Brown","White"
"553","Jim Knowles","White"
"554","Ben Albert","Black"
"555","Matt Guerrieri","White"
"556","Tim Rose","White"
"557","Greg Hudson","White"
"558","Brian Mitchell","Black"
"559","Kenwick Thompson","Black"
"560","David Blackwell","White"
"561","Blake Harrell","White"
"562","Billy Harris","White"
"563","Jay Peterson","Black"
"564","Brad McCaslin","White"
"565","Neal Neathery","White"
"566","Kirk Hoza","White"
"567","Kurt Van Valkenburgh","White"
"568","Pete Rekstis","White"
"569","Roc Bellantoni","White"
"570","Chris Kiffin","White"
"571","Tony Pecoraro","White"
"572","Bernard Clark","Black"
"573","Kevin Fouquier","White"
"574","Phil Galiano","White"
"575","Todd Orlando","White"
"576","Josh Conklin","White"
"577","Matt House","White"
"578","Ron Cooper","Black"
"579","Jeff Copp","White"
"580","Jerod Kruse","White"
"581","Jon Hoke","White"
"582","Greg Mattison","White"
"583","Teryl Austin","Black"
"584","Dan Quinn","White"
"585","Chris Rumph","Black"
"586","Todd Grantham","White"
"587","Mickey Andrews","White"
"588","Harlon Barnett","Black"
"589","Adam Fuller","White"
"590","Kevin Coyle","White"
"591","Dan Brown","White"
"592","Randy Stewart","White"
"593","Nick Toth","White"
"594","Lorenzo Ward","Black"
"595","Orlondo Steinauer","Black"
"596","Bert Watts","White"
"597","Gary Gibbs","White"
"598","Willie Martinez","White"
"599","Dan Lanning","White"
"600","Glenn Schumann","White"
"601","Lorenzo Costantini","White"
"602","Jesse Minter","White"
"603","Nate Fuqua","White"
"604","Jon Tenuta","White"
"605","Andrew Thacker","White"
"606","Nathan Burton","White"
"607","Kevin Lempa","White"
"608","George Lumpkin","White"
"609","Jerry Glanville","White"
"610","Cal Lee","White"
"611","Thom Kaumeyer","White"
"612","Kevin Clune","White"
"613","Tom Mason","White"
"614","Legi Suiaunoa","Other"
"615","Corey Batoon","White"
"616","Jacob Yoro","Other"
"617","Victor Santa Cruz","Other"
