"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa367","Jim Burrow","Ohio","White",0.0160219021676293,0.0148046365697712,0.0268274086720164,0.028635456276188
"mean_ppa368","Jim Fleming","Akron","White",-0.0512867816028119,-0.0779106526193217,0.0387389434485748,-0.0999449513640472
"mean_ppa369","Jim Fleming","UCF","White",-0.0345625382924792,-0.0223834622372917,0.014790539991484,-0.0119730536838434
"mean_ppa370","Jim Knowles","Duke","White",-0.0828726049574745,-0.0205818634112809,0.0468128740908884,0.0211669616782759
"mean_ppa371","Jim Knowles","Oklahoma State","White",0.0157284277683937,0.0292512353435482,-0.00763487595677034,0.0352086453707506
"mean_ppa372","Jim Leavitt","Colorado","White",0.0556356058395992,0.0341904563949718,0.0548781019959848,0.0534495635193969
"mean_ppa373","Jim Leavitt","Florida Atlantic","White",0.0530475870391183,-0.000309564907966187,0.00296366651600991,0.000845687522142424
"mean_ppa374","Jim Leavitt","Oregon","White",0.14936171680106,0.0778751304759973,-0.026983962108981,0.0541422986328179
"mean_ppa375","Jim Leavitt","SMU","White",-0.0544824160824989,0.028985774959162,0.0455965598120738,-0.00857895300484413
"mean_ppa376","Jim Leonhard","Wisconsin","White",0.0174868875247945,0.00650385861982811,-0.00913420326844547,-0.0105016733579076
"mean_ppa377","Jim O'Neil","Northwestern","White",-0.201711414121817,-0.0663831254458426,0.11174148898766,-0.0577233773444134
"mean_ppa378","Jim Reid","Boston College","White",-0.0608831533462104,-0.0178651139608261,0.0455502904011009,0.00451863052122808
"mean_ppa379","Jim Reid","Virginia","White",0.0238244293253304,0.0286356263984912,-0.0815900999443129,0.0157601624626508
"mean_ppa380","Jimmy Brumbaugh","Maryland","Black",-0.012095489843312,-0.0120787523062221,0.03128571121946,-0.00466360572521002
"mean_ppa381","Jimmy Lake","Washington","Black",0.00783737672034725,0.0192896207041121,0.00240371649643148,0.020148229792614
"mean_ppa382","Jimmy Williams","Buffalo","Black",-0.0595175318325864,-0.0702577943455051,0.0134471359627883,-0.0794341783147753
"mean_ppa383","Jody Sears","Washington State","White",-0.0513823162055302,-0.0482893177400905,0.0184442241386766,-0.029139617745735
"mean_ppa384","Joe Cauthen","Arkansas State","White",-0.073555092274212,0.012931960687087,-0.0142805039793434,0.0272129009482759
"mean_ppa385","Joe Cauthen","Buffalo","White",-0.190473430877233,-0.0443388765250424,0.00454011878434235,-0.0669690468033174
"mean_ppa386","Joe Cauthen","Houston","White",-0.116795564623063,-0.00584810129471697,-0.0378912761922837,-0.0271103390520467
"mean_ppa387","Joe DeForest","West Virginia","White",-0.122341971236766,-0.0559584097275562,0.0118529834400322,-0.109871929340243
"mean_ppa388","Joe Harasymiak","Minnesota","White",-0.0644570917849342,-0.0186852062244089,0.0276006697283195,-0.0158906868654668
"mean_ppa389","Joe Kines","Texas A&M","White",0.0074955587044874,-0.0120998910617591,-0.000899484019849628,-0.0232873830534499
"mean_ppa390","Joe Klanderman","Kansas State","White",-0.0311602124356047,0.0246398389718362,0.00667079852544974,-0.00870684996563009
"mean_ppa391","Joe Lee Dunn","Memphis","White",-0.0336193234939513,-0.0429231785163988,0.0225989697269071,-0.037033874623529
"mean_ppa392","Joe Lee Dunn","New Mexico State","White",0.0409159089273393,-0.01582638214727,-0.00348595857632003,0.0279590938850415
"mean_ppa393","Joe Palcic","Indiana","White",-0.0364243192319213,-0.0515975692069685,0.041861083671349,-0.0454319410306617
"mean_ppa394","Joe Rossi","Minnesota","White",-0.0529368472486765,-0.0229568680877191,0.0214241835875526,-0.0487832677954229
"mean_ppa395","Joe Rossi","Rutgers","White",-0.239368181588341,-0.0805048270313757,0.0355314965235189,-0.0694823150866433
"mean_ppa396","Joe Salave'a","Oregon","Other",0.130879536118198,0.0538379915754302,0.00345183809762645,0.0430252541014191
"mean_ppa397","Joe Tresey","Akron","White",0.0687213202384742,0.0222094325757125,-0.0111752215905714,0.0460140661408612
"mean_ppa398","Joe Tresey","Central Michigan","White",-0.0459664210553613,-0.0709131000522039,0.0385305190762754,-0.085856731100947
