"","College","Coach","Role","Race","year_start","year_end","duration"
"211","Kentucky","Hal Mumme","Head Coach","White",2000,2000,1
"212","Kentucky","Guy Morriss","Head Coach","White",2001,2002,2
"213","Kentucky","Rich Brooks","Head Coach","White",2003,2009,7
"214","Kentucky","Joker Phillips","Head Coach","Black",2010,2012,3
"215","Kentucky","Mark Stoops","Head Coach","White",2013,2021,9
"216","Liberty","Turner Gill","Head Coach","Black",2018,2018,1
"217","Liberty","Hugh Freeze","Head Coach","White",2019,2021,3
"218","Louisiana","Jerry Baldwin","Head Coach","Black",2000,2001,2
"219","Louisiana","Rickey Bustle","Head Coach","White",2002,2010,9
"220","Louisiana","Mark Hudspeth","Head Coach","White",2011,2017,7
"221","Louisiana","Billy Napier","Head Coach","White",2018,2021,4
"222","Louisiana Monroe","Bobby Keasler","Head Coach","White",2000,2002,3
"223","Louisiana Monroe","Charlie Weatherbie","Head Coach","White",2003,2009,7
"224","Louisiana Monroe","Todd Berry","Head Coach","White",2010,2015,6
"225","Louisiana Monroe","Matt Viator","Head Coach","White",2016,2020,5
"226","Louisiana Tech","Jack Bicknell Jr.","Head Coach","White",2000,2006,7
"227","Louisiana Tech","Derek Dooley","Head Coach","White",2007,2009,3
"228","Louisiana Tech","Sonny Dykes","Head Coach","White",2010,2012,3
"229","Louisiana Tech","Skip Holtz","Head Coach","White",2013,2021,9
"230","Louisville","John L. Smith","Head Coach","White",2000,2002,3
"231","Louisville","Bobby Petrino","Head Coach","White",2003,2018,16
"232","Louisville","Steve Kragthorpe","Head Coach","White",2007,2009,3
"233","Louisville","Charlie Strong","Head Coach","Black",2010,2013,4
"234","Louisville","Scott Satterfield","Head Coach","White",2019,2021,3
"235","LSU","Nick Saban","Head Coach","White",2000,2004,5
"236","LSU","Les Miles","Head Coach","White",2005,2016,12
"237","LSU","Ed Orgeron","Head Coach","White",2017,2021,5
"238","Marshall","Bob Pruett","Head Coach","White",2000,2004,5
"239","Marshall","Mark Snyder","Head Coach","White",2005,2009,5
"240","Marshall","Doc Holliday","Head Coach","White",2010,2020,11
"241","Marshall","Charles Huff","Head Coach","Black",2021,2021,1
"242","Maryland","Ron Vanderlinden","Head Coach","White",2000,2000,1
"243","Maryland","Ralph Friedgen","Head Coach","White",2001,2010,10
"244","Maryland","Randy Edsall","Head Coach","White",2011,2015,5
"245","Maryland","D.J. Durkin","Head Coach","White",2016,2017,2
"246","Maryland","Matt Canada","Head Coach","White",2018,2018,1
"247","Maryland","Mike Locksley","Head Coach","Black",2019,2021,3
"248","UMass","Charley Molnar","Head Coach","Other",2012,2013,2
"249","UMass","Mark Whipple","Head Coach","White",2014,2018,5
"250","UMass","Walt Bell","Head Coach","White",2019,2021,3
"251","Memphis","Rip Scherer","Head Coach","White",2000,2000,1
"252","Memphis","Tommy West","Head Coach","White",2001,2009,9
"253","Memphis","Larry Porter","Head Coach","Black",2010,2011,2
"254","Memphis","Justin Fuente","Head Coach","White",2012,2015,4
"255","Memphis","Mike Norvell","Head Coach","White",2016,2019,4
"256","Memphis","Ryan Silverfield","Head Coach","White",2020,2021,2
"257","Miami","Butch Davis","Head Coach","White",2000,2000,1
"258","Miami","Larry Coker","Head Coach","White",2001,2006,6
"259","Miami","Randy Shannon","Head Coach","Black",2007,2010,4
"260","Miami","Al Golden","Head Coach","White",2011,2015,5
"261","Miami","Mark Richt","Head Coach","White",2016,2018,3
"262","Miami","Manny Diaz","Head Coach","Other",2019,2021,3
"263","Miami (OH)","Terry Hoeppner","Head Coach","White",2000,2004,5
"264","Miami (OH)","Shane Montgomery","Head Coach","White",2005,2008,4
"265","Miami (OH)","Michael Haywood","Head Coach","Black",2009,2010,2
"266","Miami (OH)","Don Treadwell","Head Coach","White",2011,2013,3
"267","Miami (OH)","Chuck Martin","Head Coach","White",2014,2021,8
"268","Michigan","Lloyd Carr","Head Coach","White",2000,2007,8
"269","Michigan","Rich Rodriguez","Head Coach","White",2008,2010,3
"270","Michigan","Brady Hoke","Head Coach","White",2011,2014,4
"271","Michigan","Jim Harbaugh","Head Coach","White",2015,2021,7
"272","Michigan State","Bobby Williams","Head Coach","Black",2000,2002,3
"273","Michigan State","John L. Smith","Head Coach","White",2003,2006,4
"274","Michigan State","Mark Dantonio","Head Coach","White",2007,2019,13
