"","from","to","weight"
"660","Frank Beamer","Bryan Stinespring",11
"661","Frank Beamer","Bud Foster",16
"662","Frank Beamer","Rickey Bustle",2
"663","Frank Beamer","Scot Loeffler",3
"664","Frank Solich","Barney Cotton",1
"665","Frank Solich","Bo Pelini",1
"666","Frank Solich","Craig Bohl",3
"667","Frank Solich","Gerry Gdowski",6
"668","Frank Solich","Jim Burrow",13
"669","Frank Solich","Pete Germano",2
"670","Frank Solich","Ron Collins",4
"671","Frank Solich","Scott Isphording",4
"672","Frank Solich","Tim Albin",15
"673","Frank Spaziani","Bill McGovern",4
"674","Frank Spaziani","Doug Martin",1
"675","Frank Spaziani","Gary Tranquill",2
"676","Frank Spaziani","Kevin Rogers",1
"677","Frank Wilson","Al Borges",1
"678","Frank Wilson","Frank Scelfo",2
"679","Frank Wilson","Jason Rollins",2
"680","Frank Wilson","Jeff Kastl",1
"681","Frank Wilson","Pete Golding",2
"682","Garrick McGee","Jeff Brohm",1
"683","Garrick McGee","Reggie Johnson",2
"684","Garrick McGee","Richard Owens",1
"685","Gary Andersen","Andy Ludwig",2
"686","Gary Andersen","Bill Busch",2
"687","Gary Andersen","Bodie Reeder",1
"688","Gary Andersen","Dave Aranda",3
"689","Gary Andersen","Dave Baldwin",4
"690","Gary Andersen","Frank Maile",1
"691","Gary Andersen","Justin Ena",1
"692","Gary Andersen","Kalani Sitake",1
"693","Gary Andersen","Kevin Clune",2
"694","Gary Andersen","Kevin McGiven",2
"695","Gary Andersen","Matt Wells",1
"696","Gary Andersen","Mike Sanford Jr.",1
"697","Gary Andersen","Stacy Collins",1
"698","Gary Andersen","T.J. Woods",1
"699","Gary Barnett","Mike Hankwitz",2
"700","Gary Barnett","Shawn Watson",6
"701","Gary Barnett","Tom McMahon",2
"702","Gary Barnett","Vince Okruch",4
"703","Gary Blackney","Tom Lichtenberg",1
"704","Gary Crowton","Bronco Mendenhall",2
"705","Gary Crowton","Ken Schmidt",2
"706","Gary Crowton","Mike Borich",2
"707","Gary Crowton","Robbie Bosco",1
"708","Gary Crowton","Todd Bradford",2
"709","Gary Darnell","Brian Rock",5
"710","Gary Darnell","Chuck Driesbach",1
"711","Gary Darnell","Dick Bumpas",1
"712","Gary Darnell","J.C. Harper",1
"713","Gary Darnell","Jim Knowles",2
"714","Gary Darnell","Mike Cummings",1
"715","Gary Nord","Bob Wagner",1
"716","Gary Nord","Larry Hoefer",1
"717","Gary Nord","Patrick Higgins",4
"718","Gary Nord","Troy Reffett",2
"719","Gary Patterson","Chad Glasgow",7
"720","Gary Patterson","Chuck Driesbach",1
"721","Gary Patterson","Curtis Luper",3
"722","Gary Patterson","David Bailiff",2
"723","Gary Patterson","DeMontie Cross",1
"724","Gary Patterson","Dick Bumpas",11
"725","Gary Patterson","Doug Meacham",4
"726","Gary Patterson","Jarrett Anderson",5
"727","Gary Patterson","Justin Fuente",3
"728","Gary Patterson","Mike Schultz",8
"729","Gary Patterson","Rusty Burns",2
"730","Gary Patterson","Sonny Cumbie",7
"731","Gary Pinkel","Barry Odom",1
"732","Gary Pinkel","Dave Christensen",8
"733","Gary Pinkel","Dave Steckel",6
"734","Gary Pinkel","David Yost",4
"735","Gary Pinkel","Josh Henson",3
"736","Gary Pinkel","Matt Eberflus",8
"737","Gene Chizik","Brian VanGorder",1
"738","Gene Chizik","Gus Malzahn",3
"739","Gene Chizik","Robert McFarland",2
"740","Gene Chizik","Scot Loeffler",1
"741","Gene Chizik","Ted Roof",3
"742","Gene Chizik","Wayne Bolt",2
"743","Geoff Collins","Andrew Thacker",4
"744","Geoff Collins","Dave Patenaude",5
"745","Geoff Collins","Nathan Burton",2
"746","Geoff Collins","Taver Johnson",1
"747","George O'Leary","Bill O'Brien",1
"748","George O'Leary","Brent Key",1
"749","George O'Leary","Charlie Taaffe",6
"750","George O'Leary","Chuck Bresnahan",1
"751","George O'Leary","Dave Huxtable",3
"752","George O'Leary","Jim Fleming",2
"753","George O'Leary","John Skladany",2
"754","George O'Leary","Lance Thompson",3
"755","George O'Leary","Ralph Friedgen",1
"756","George O'Leary","Ted Roof",2
"757","George O'Leary","Tim Salem",5
"758","George O'Leary","Tyson Summers",1
"759","George Welsh","Gary Tranquill",1
"760","George Welsh","Rick Lantz",1
"761","Gerry DiNardo","Al Borges",2
"762","Gerry DiNardo","Joe Cullen",1
"763","Gerry DiNardo","Steve Addazio",1
"764","Gerry DiNardo","Tim Kish",2
"765","Glen Mason","David Gibbs",1
"766","Glen Mason","David Lockwood",2
"767","Glen Mason","Greg Hudson",2
"768","Glen Mason","Mitch Browning",7
"769","Glen Mason","Moe Ankney",2
"770","Glen Mason","Tony Petersen",6
"771","Greg McMackin","Cal Lee",2
"772","Greg McMackin","Dave Aranda",2
"773","Greg McMackin","Nick Rolovich",2
"774","Greg McMackin","Ron Lee",2
"775","Greg Robinson","Brian Pariani",1
"776","Greg Robinson","Brian White",2
"777","Greg Robinson","Derrick Jackson",1
"778","Greg Robinson","Mitch Browning",2
"779","Greg Robinson","Steve Russ",1
"780","Greg Schiano","Bill Cubit",2
"781","Greg Schiano","Bob Fraser",3
"782","Greg Schiano","Craig Ver Steeg",4
"783","Greg Schiano","Ed Pinkham",2
"784","Greg Schiano","Frank Cignetti Jr.",1
"785","Greg Schiano","John McNulty",2
"786","Greg Schiano","Kirk Ciarrocca",2
"787","Greg Schiano","Paul Ferraro",4
"788","Greg Schiano","Robb Smith",2
"789","Greg Schiano","Sean Gleeson",2
"790","Gregg Brandon","Greg Studrawa",3
"791","Gregg Brandon","John Lovett",2
"792","Gregg Brandon","Mick McCall",1
"793","Gregg Brandon","Mike Ward",2
"794","Gus Malzahn","Chad Morris",1
"795","Gus Malzahn","Charlie Harbison",1
"796","Gus Malzahn","Chip Lindsey",2
"797","Gus Malzahn","Dameyune Craig",3
"798","Gus Malzahn","David Gibbs",1
"799","Gus Malzahn","Ellis Johnson",2
"800","Gus Malzahn","G.J. Kinne",1
"801","Gus Malzahn","John Thompson",1
"802","Gus Malzahn","Kenny Dillingham",1
"803","Gus Malzahn","Kevin Steele",5
"804","Gus Malzahn","Kodi Burns",3
"805","Gus Malzahn","Rhett Lashlee",5
"806","Gus Malzahn","Tim Harris Jr.",1
"807","Gus Malzahn","Travis Williams",1
"808","Gus Malzahn","Will Muschamp",1
"809","Guy Morriss","Bill Bradley",3
"810","Guy Morriss","Brent Pease",5
"811","Guy Morriss","John Goodner",2
"812","Guy Morriss","Larry Hoefer",1
"813","Guy Morriss","Lee Hays",2
"814","Hal Mumme","Gary Goff",2
"815","Hal Mumme","Joe Lee Dunn",1
"816","Hal Mumme","Matt Mumme",4
"817","Hal Mumme","Mike Major",1
"818","Hal Mumme","Tony Franklin",1
"819","Hal Mumme","Woody Widenhofer",3
"820","Herm Edwards","Danny Gonzales",1
"821","Herm Edwards","Marvin Lewis",1
"822","Herm Edwards","Rob Likens",2
"823","Herm Edwards","Zak Hill",2
"824","Houston Nutt","Bobby Allen",1
"825","Houston Nutt","Dave Wommack",3
"826","Houston Nutt","David Lee",2
"827","Houston Nutt","David Rader",1
"828","Houston Nutt","Gus Malzahn",1
"829","Houston Nutt","John Thompson",2
"830","Houston Nutt","Kent Austin",2
"831","Houston Nutt","Mike Markuson",1
"832","Houston Nutt","Reggie Herring",3
"833","Houston Nutt","Tyrone Nix",4
"834","Howard Schnellenberger","Darryl Jackson",3
"835","Howard Schnellenberger","Gary Nord",4
"836","Howard Schnellenberger","Kirk Hoza",5
"837","Howard Schnellenberger","Kurt Van Valkenburgh",1
"838","Hugh Freeze","Dan Werner",5
"839","Hugh Freeze","Dave Wommack",6
"840","Hugh Freeze","Jason Jones",4
"841","Hugh Freeze","Kent Austin",3
"842","Hugh Freeze","Matt Luke",5
"843","Hugh Freeze","Maurice Harris",3
"844","Hugh Freeze","Scott Symons",3
"845","Hugh Freeze","Wesley McGriff",1
"846","J.D. Brookhart","Jim Fleming",6
"847","J.D. Brookhart","Jim Pry",2
"848","J.D. Brookhart","Joe Moorhead",3
"849","J.D. Brookhart","Shane Montgomery",1
"850","Jack Bicknell Jr.","Conroy Hines",6
"851","Jack Bicknell Jr.","George Darlington",1
"852","Jack Bicknell Jr.","Randy Bates",2
"853","Jack Bicknell Jr.","Rick Smith",1
"854","Jack Bicknell Jr.","Rob Spence",1
"855","Jack Bicknell Jr.","Tim Rose",1
"856","Jack Bicknell Jr.","Tom Masella",1
"857","Jackie Sherrill","Joe Lee Dunn",3
"858","Jackie Sherrill","Morris Watts",1
"859","Jackie Sherrill","Ron Cooper",1
"860","Jackie Sherrill","Sparky Woods",3
"861","Jake Spavital","Archie McDaniel",1
"862","Jake Spavital","Jacob Peeler",2
"863","Jake Spavital","Zac Spavital",2
"864","James Franklin","Anthony Poindexter",1
"865","James Franklin","Bob Shoop",5
"866","James Franklin","Brent Pry",9
"867","James Franklin","Joe Moorhead",2
"868","James Franklin","John Donovan",5
"869","James Franklin","Kirk Ciarrocca",1
"870","James Franklin","Mike Yurcich",1
"871","James Franklin","Ricky Rahne",2
"872","James Franklin","Tim Banks",5
"873","James Franklin","Tyler Bowen",2
"874","Jamey Chadwell","Chad Staggs",3
"875","Jamey Chadwell","Newland Isaac",3
"876","Jamey Chadwell","Willy Korn",3
"877","Jason Candle","Brian George",4
"878","Jason Candle","Brian Wright",4
"879","Jason Candle","Mike Hallett",2
"880","Jason Candle","Robert Weiner",2
"881","Jason Candle","Vince Kehres",2
"882","Jay Hopson","Buster Faulkner",1
"883","Jay Hopson","Derek Nicholson",2
"884","Jay Hopson","Matt Kubik",1
"885","Jay Hopson","Scotty Walden",2
"886","Jay Hopson","Shannon Dawson",3
"887","Jay Hopson","Tony Pecoraro",3
"888","Jay Norvell","Brian Ward",2
"889","Jay Norvell","Jeff Casteel",3
"890","Jay Norvell","Matt Mumme",5
"891","Jedd Fisch","Brennan Carroll",1
"892","Jedd Fisch","Don Brown",1
"893","Jeff Bower","Chris Klenakis",3
"894","Jeff Bower","Dave Wommack",1
"895","Jeff Bower","Jay Hopson",3
"896","Jeff Bower","Jay Johnson",3
"897","Jeff Bower","Rip Scherer",2
"898","Jeff Bower","Tyrone Nix",4
"899","Jeff Brohm","Anthony Poindexter",4
"900","Jeff Brohm","Bob Diaco",1
"901","Jeff Brohm","Brad Lambert",1
"902","Jeff Brohm","Brian Brohm",6
"903","Jeff Brohm","JaMarcus Shephard",4
"904","Jeff Brohm","Mark Hagen",1
"905","Jeff Brohm","Nick Holt",6
"906","Jeff Brohm","Ron English",1
"907","Jeff Brohm","Tyson Helton",2
"908","Jeff Genyk","Howard Feggins",3
"909","Jeff Genyk","Jay Peterson",5
"910","Jeff Genyk","Scott Isphording",2
"911","Jeff Hafley","Frank Cignetti Jr.",2
"912","Jeff Hafley","Tem Lukabu",2
"913","Jeff Jagodzinski","Frank Spaziani",2
"914","Jeff Jagodzinski","Steve Logan",2
"915","Jeff Monken","Brent Davis",8
"916","Jeff Monken","Greg Gasparato",1
"917","Jeff Monken","Jay Bateman",5
"918","Jeff Monken","John Loose",1
"919","Jeff Monken","Nate Woody",2
"920","Jeff Monken","Shiel Wood",1
"921","Jeff Quinn","Alex Wood",4
"922","Jeff Quinn","Greg Forest",1
"923","Jeff Quinn","Lou Tepper",3
"924","Jeff Quinn","William Inge",2
"925","Jeff Scott","Charlie Weis Jr.",2
"926","Jeff Scott","Glenn Spencer",2
"927","Jeff Tedford","Andy Ludwig",2
"928","Jeff Tedford","Bert Watts",2
"929","Jeff Tedford","Bob Gregory",8
"930","Jeff Tedford","Clancy Pendergast",3
"931","Jeff Tedford","Frank Cignetti Jr.",1
"932","Jeff Tedford","George Cortez",4
"933","Jeff Tedford","Jim Michalczik",3
"934","Jeff Tedford","Mike Dunbar",1
"935","Jeff Tedford","Orlondo Steinauer",1
"936","Jeff Traylor","Jess Loepp",1
"937","Jeff Traylor","Rod Wright",1
"938","Jeff Traylor","Tyrone Nix",1
"939","Jeff Woodruff","Billy Harris",3
"940","Jeff Woodruff","Pete Alamar",3
"941","Jeff Woodruff","Tim Rose",1
"942","Jeff Woodruff","Tim Salem",1
"943","Jeremy Pruitt","Chris Rumph",1
"944","Jeremy Pruitt","Derrick Ansley",2
"945","Jeremy Pruitt","Jim Chaney",2
"946","Jeremy Pruitt","Kevin Sherrer",1
"947","Jeremy Pruitt","Tyson Helton",1
"948","Jerry Baldwin","Larry Edmondson",2
"949","Jerry Baldwin","Tony Tademy",2
"950","Jerry Kill","Matt Limegrover",8
"951","Jerry Kill","Tracy Claeys",8
"952","Jim Caldwell","Eddie Williamson",1
"953","Jim Caldwell","Theo Lemon",1
"954","Jim Caldwell","Tony Pierce",1
"955","Jim Donnan","Gary Gibbs",1
"956","Jim Grobe","Brad Lambert",3
"957","Jim Grobe","Brian Knorr",4
"958","Jim Grobe","Dean Hood",7
"959","Jim Grobe","Kendal Briles",1
"960","Jim Grobe","Phil Bennett",1
"961","Jim Grobe","Steed Lobotzke",11
"962","Jim Grobe","Tim Billings",1
"963","Jim Grobe","Troy Calhoun",3
"964","Jim Harbaugh","Andy Buh",2
"965","Jim Harbaugh","D.J. Durkin",1
"966","Jim Harbaugh","David Shaw",4
"967","Jim Harbaugh","Don Brown",5
"968","Jim Harbaugh","Josh Gattis",3
"969","Jim Harbaugh","Mike Macdonald",1
"970","Jim Harbaugh","Ron Lynn",2
"971","Jim Harbaugh","Sherrone Moore",1
"972","Jim Harbaugh","Tim Drevno",3
"973","Jim Harbaugh","Vic Fangio",1
"974","Jim Hofher","Bill Lazor",2
"975","Jim Hofher","Roy Istvan",2
"976","Jim Hofher","Thurmond Moore",3
"977","Jim Hofher","Tom Jones",2
"978","Jim L. Mora","Jeff Ulbrich",1
"979","Jim L. Mora","Kennedy Polamalu",1
"980","Jim L. Mora","Lou Spanos",2
"981","Jim L. Mora","Noel Mazzone",4
"982","Jim L. Mora","Tom Bradley",3
"983","Jim Leavitt","David Blackwell",1
"984","Jim Leavitt","Greg Gregory",2
"985","Jim Leavitt","Joe Tresey",1
"986","Jim Leavitt","Mike Canales",1
"987","Jim Leavitt","Mike Hobbie",4
"988","Jim Leavitt","Rod Smith",1
"989","Jim Leavitt","Wally Burnham",6
"990","Jim McElwain","Al Simmons",3
"991","Jim McElwain","Charlie Frye",2
"992","Jim McElwain","Chris Rumph",1
"993","Jim McElwain","Dave Baldwin",3
"994","Jim McElwain","Doug Nussmeier",3
"995","Jim McElwain","Geoff Collins",2
"996","Jim McElwain","Kevin Barbay",1
"997","Jim McElwain","Marty English",3
"998","Jim McElwain","Randy Shannon",3
"999","Jim McElwain","Robb Akey",3
"1000","Jim Tressel","Jim Bollman",7
"1001","Jim Tressel","Jim Heacock",6
"1002","Jim Tressel","Luke Fickell",6
"1003","Jim Tressel","Mark Dantonio",3
"1004","Jim Tressel","Mark Snyder",1
"1005","Jim Tressel","Mel Tucker",1
"1006","Jimbo Fisher","Charles Kelly",4
"1007","Jimbo Fisher","Darrell Dickey",4
"1008","Jimbo Fisher","James Coley",3
"1009","Jimbo Fisher","Jay Graham",1
"1010","Jimbo Fisher","Jeremy Pruitt",1
"1011","Jimbo Fisher","Lawrence Dawsey",4
"1012","Jimbo Fisher","Mark Stoops",3
"1013","Jimbo Fisher","Mike Elko",4
"1014","Jimbo Fisher","Randy Sanders",4
"1015","Jimmy Lake","Bob Gregory",1
"1016","Jimmy Lake","Ikaika Malloe",2
"1017","Jimmy Lake","John Donovan",2
"1018","Jimmy Lake","Pete Kwiatkowski",1
"1019","Joe Glenn","Bob Cockhill",5
"1020","Joe Glenn","Bob Cole",1
"1021","Joe Glenn","Mike Breske",5
"1022","Joe Hollis","Leon Burtnett",2
"1023","Joe Hollis","Phil Davis",1
"1024","Joe Hollis","Randy Fichtner",1
"1025","Joe Moglia","Jamey Chadwell",1
"1026","Joe Moglia","Marvin Sanders",1
"1027","Joe Moglia","Mickey Matthews",1
"1028","Joe Moorhead","Bob Shoop",2
"1029","Joe Moorhead","Luke Getsy",1
"1030","Joe Novak","Dan Roushar",3
"1031","Joe Novak","Denny Doornbos",4
"1032","Joe Novak","John Bond",3
"1033","Joe Novak","Matt Canada",1
"1034","Joe Novak","Roy Wittke",1
"1035","Joe Novak","Scott Shafer",4
"1036","Joe Paterno","Fran Ganter",4
"1037","Joe Paterno","Galen Hall",8
"1038","Joe Paterno","Tom Bradley",12
"1039","Joe Tiller","Bill Legg",2
"1040","Joe Tiller","Brock Spack",9
"1041","Joe Tiller","Ed Zaunbrecher",3
"1042","Joe Tiller","Jim Chaney",6
"1043","Joey Jones","Bill Clark",1
"1044","Joey Jones","Brian Turner",1
"1045","Joey Jones","Bryant Vincent",3
"1046","Joey Jones","Kane Wommack",2
"1047","Joey Jones","Kevin Sherrer",1
"1048","Joey Jones","Richard Owens",1
"1049","Joey Jones","Robert Matthews",3
"1050","Joey Jones","Travis Pearson",2
"1051","John Bonamego","Chris Ostrowsky",2
"1052","John Bonamego","Greg Colby",4
"1053","John Bonamego","Morris Watts",2
"1054","John Bunting","Dave Huxtable",2
"1055","John Bunting","Frank Cignetti Jr.",1
"1056","John Bunting","Gary Tranquill",5
"1057","John Bunting","John Gutekunst",1
"1058","John Bunting","Jon Tenuta",1
"1059","John Bunting","Marvin Sanders",3
"1060","John Cooper","Chuck Stobart",1
"1061","John Cooper","Jon Tenuta",1
"1062","John L. Smith","Chris Smeland",7
"1063","John L. Smith","Dave Baldwin",4
"1064","John L. Smith","John Pettas",1
"1065","John L. Smith","Paul Haynes",1
"1066","John L. Smith","Paul Petrino",1
"1067","John L. Smith","Scott Linehan",2
"1068","John Mackovic","Larry Mac Duff",2
"1069","John Mackovic","Mike Deal",1
"1070","John Mackovic","Rick Dykes",2
"1071","John Robinson","Bruce Snyder",1
"1072","John Robinson","Mike Bradeson",5
"1073","John Robinson","Rob Boras",3
"1074","John Robinson","Vince Alcalde",1
"1075","John Thompson","Noah Brindise",1
"1076","John Thompson","Rick Stockstill",1
"1077","Joker Phillips","Randy Sanders",3
"1078","Joker Phillips","Rick Minter",2
"1079","Joker Phillips","Steve Brown",2
"1080","Jon Embree","Eric Bieniemy",2
"1081","Jon Embree","Greg Brown",2
"1082","Jonathan Smith","Brian Lindgren",4
"1083","Jonathan Smith","Tim Tibesar",4
"1084","Josh Heupel","Alex Golesh",2
"1085","Josh Heupel","Anthony Tucker",1
"1086","Josh Heupel","Jeff Lebby",2
"1087","Josh Heupel","Randy Shannon",3
"1088","Josh Heupel","Tim Banks",1
"1089","June Jones","Dan Morrison",5
"1090","June Jones","George Lumpkin",1
"1091","June Jones","Hal Mumme",1
"1092","June Jones","Jason Phillips",3
"1093","June Jones","Jerry Glanville",3
"1094","June Jones","Kevin Lempa",3
"1095","June Jones","Tom Mason",7
"1096","Justin Fuente","Barry Odom",3
"1097","Justin Fuente","Brad Cornelsen",7
"1098","Justin Fuente","Darrell Dickey",4
"1099","Justin Fuente","Galen Scott",1
"1100","Justin Fuente","Justin Hamilton",2
"1101","Justin Wilcox","Beau Baldwin",3
"1102","Justin Wilcox","Bill Musgrave",2
"1103","Justin Wilcox","Peter Sirmon",2
"1104","Justin Wilcox","Tim DeRuyter",3
"1105","Kalani Sitake","Aaron Roderick",1
"1106","Kalani Sitake","Ilaisa Tuiaki",6
"1107","Kalani Sitake","Jeff Grimes",3
"1108","Kalani Sitake","Ty Detmer",2
"1109","Kalen DeBoer","William Inge",2
"1110","Kane Wommack","Corey Batoon",1
"1111","Kane Wommack","Major Applewhite",1
"1112","Karl Dorrell","Chris Wilson",1
"1113","Karl Dorrell","Darrin Chiaverini",2
"1114","Karl Dorrell","DeWayne Walker",2
"1115","Karl Dorrell","Jay Norvell",1
"1116","Karl Dorrell","Jim Svoboda",1
"1117","Karl Dorrell","Larry Kerr",3
"1118","Karl Dorrell","Steve Axman",1
"1119","Karl Dorrell","Tom Cable",2
"1120","Karl Dorrell","Tyson Summers",1
"1121","Keith Burns","Dan Lounsbury",1
"1122","Keith Burns","Jeff McInerney",3
"1123","Keith Burns","Jim Gilstrap",2
"1124","Keith Gilbertson","John Pettas",2
"1125","Keith Gilbertson","Phil Snow",2
"1126","Keith Gilbertson","Tim Hundley",1
"1127","Ken Hatfield","David Lee",1
"1128","Ken Hatfield","Roger Hinshaw",6
"1129","Ken Hatfield","Scott Wachenheim",6
"1130","Ken Niumatalolo","Brian Newberry",3
"1131","Ken Niumatalolo","Brian Norwood",1
"1132","Ken Niumatalolo","Buddy Green",8
"1133","Ken Niumatalolo","Dale Pehrson",3
"1134","Ken Niumatalolo","Ivin Jasper",14
"1135","Kevin Steele","Bob Trott",1
"1136","Kevin Steele","Brick Haley",2
"1137","Kevin Steele","Dave Baldwin",1
"1138","Kevin Steele","Greg Meyer",2
"1139","Kevin Sumlin","Brian Stewart",2
"1140","Kevin Sumlin","Clarence McKinney",1
"1141","Kevin Sumlin","Dana Holgorsen",2
"1142","Kevin Sumlin","Jake Spavital",3
"1143","Kevin Sumlin","Jason Phillips",4
"1144","Kevin Sumlin","John Chavis",3
"1145","Kevin Sumlin","John Skladany",2
"1146","Kevin Sumlin","Kliff Kingsbury",3
"1147","Kevin Sumlin","Marcel Yates",4
"1148","Kevin Sumlin","Mark Snyder",3
"1149","Kevin Sumlin","Noel Mazzone",5
"1150","Kevin Sumlin","Paul Rhoads",1
"1151","Kevin Wilson","Brian Knorr",2
"1152","Kevin Wilson","Doug Mallory",3
"1153","Kevin Wilson","Greg Frey",3
"1154","Kevin Wilson","Kevin Johns",6
"1155","Kevin Wilson","Mike Ekeler",2
"1156","Kevin Wilson","Rod Smith",1
"1157","Kevin Wilson","Seth Littrell",2
"1158","Kevin Wilson","William Inge",3
"1159","Kirby Smart","Dan Lanning",3
"1160","Kirby Smart","Glenn Schumann",3
"1161","Kirby Smart","James Coley",2
"1162","Kirby Smart","Jim Chaney",3
"1163","Kirby Smart","Mel Tucker",3
"1164","Kirby Smart","Todd Monken",2
"1165","Kirk Ferentz","Brian Ferentz",5
"1166","Kirk Ferentz","Greg Davis",5
"1167","Kirk Ferentz","Ken O'Keefe",12
"1168","Kirk Ferentz","Norm Parker",12
"1169","Kirk Ferentz","Phil Parker",10
"1170","Kliff Kingsbury","Clay McGuire",1
"1171","Kliff Kingsbury","David Gibbs",4
"1172","Kliff Kingsbury","Eric Morris",5
"1173","Kliff Kingsbury","Kevin Johns",1
"1174","Kliff Kingsbury","Matt Wallerstedt",2
"1175","Kliff Kingsbury","Mike Smith",3
"1176","Kliff Kingsbury","Sonny Cumbie",1
"1177","Kyle Flood","Ben McDaniels",1
"1178","Kyle Flood","Dave Brock",1
"1179","Kyle Flood","Dave Cohen",1
"1180","Kyle Flood","Joe Rossi",2
"1181","Kyle Flood","Ralph Friedgen",1
"1182","Kyle Flood","Robb Smith",1
"1183","Kyle Flood","Ron Prince",1
"1184","Kyle Whittingham","Aaron Roderick",3
"1185","Kyle Whittingham","Andy Ludwig",7
"1186","Kyle Whittingham","Brian Johnson",2
"1187","Kyle Whittingham","Dave Christensen",1
"1188","Kyle Whittingham","Dave Schramm",2
"1189","Kyle Whittingham","Dennis Erickson",1
"1190","Kyle Whittingham","Gary Andersen",4
"1191","Kyle Whittingham","Jim Harding",2
"1192","Kyle Whittingham","John Pease",1
"1193","Kyle Whittingham","Kalani Sitake",6
"1194","Kyle Whittingham","Morgan Scalley",6
"1195","Kyle Whittingham","Norm Chow",1
"1196","Kyle Whittingham","Troy Taylor",2
"1197","Lance Leipold","Andy Kotelnicki",7
"1198","Lance Leipold","Brian Borland",7
"1199","Lance Leipold","Chris Simpson",1
"1200","Lane Kiffin","Charlie Weis Jr.",2
"1201","Lane Kiffin","Chris Kiffin",1
"1202","Lane Kiffin","Chris Partridge",2
"1203","Lane Kiffin","Clancy Pendergast",1
"1204","Lane Kiffin","Clay Helton",1
"1205","Lane Kiffin","D.J. Durkin",2
"1206","Lane Kiffin","Ed Orgeron",1
"1207","Lane Kiffin","Glenn Spencer",1
"1208","Lane Kiffin","Jeff Lebby",2
"1209","Lane Kiffin","Jim Chaney",1
"1210","Lane Kiffin","Kendal Briles",1
"1211","Lane Kiffin","Kennedy Polamalu",3
"1212","Lane Kiffin","Monte Kiffin",1
"1213","Lane Kiffin","Tony Pecoraro",1
"1214","Larry Blakeney","Jeremy Rowell",8
"1215","Larry Blakeney","John Shannon",2
"1216","Larry Blakeney","Kenny Edenfield",5
"1217","Larry Blakeney","Mark Fleetwood",3
"1218","Larry Blakeney","Mike Pelton",1
"1219","Larry Blakeney","Neal Brown",2
"1220","Larry Blakeney","Ricky Logo",1
"1221","Larry Blakeney","Tony Franklin",2
"1222","Larry Blakeney","Vic Koenning",2
"1223","Larry Blakeney","Wayne Bolt",4
"1224","Larry Coker","Dan Werner",2
"1225","Larry Coker","Kevin Brown",4
"1226","Larry Coker","Neal Neathery",5
"1227","Larry Coker","Randy Shannon",6
"1228","Larry Coker","Rich Olson",1
"1229","Larry Coker","Rob Chudzinski",3
"1230","Larry Coker","Travis Bush",1
"1231","Larry Fedora","Blake Anderson",4
"1232","Larry Fedora","Chris Kapilovic",5
"1233","Larry Fedora","Dan Disch",4
"1234","Larry Fedora","David Duggan",1
"1235","Larry Fedora","Gene Chizik",2
"1236","Larry Fedora","Gunter Brewer",4
"1237","Larry Fedora","John Papuchis",2
"1238","Larry Fedora","Ron West",1
"1239","Larry Fedora","Todd Bradford",3
"1240","Larry Porter","Blake Miller",1
"1241","Larry Porter","Eric Price",2
"1242","Larry Porter","Jay Hopson",2
"1243","Larry Smith","Andy Hill",1
"1244","Larry Smith","Bill Cubit",1
"1245","Larry Smith","Moe Ankney",1
"1246","LaVell Edwards","Lance Reynolds",1
"1247","LaVell Edwards","Roger French",1
"1248","Lee Owens","Joe Palmisano",1
"1249","Lee Owens","Joe Tresey",2
"1250","Lee Owens","Paul Winters",4
"1251","Les Miles","Bill Clay",4
"1252","Les Miles","Bo Pelini",3
"1253","Les Miles","Bradley Dale Peveto",1
"1254","Les Miles","Brent Dearmon",1
"1255","Les Miles","Cam Cameron",4
"1256","Les Miles","D.J. Eliot",2
"1257","Les Miles","Dave Aranda",1
"1258","Les Miles","Doug Mallory",1
"1259","Les Miles","Gary Crowton",4
"1260","Les Miles","Greg Studrawa",2
"1261","Les Miles","Jimbo Fisher",2
"1262","Les Miles","John Chavis",6
"1263","Les Miles","Kevin Steele",1
"1264","Les Miles","Les Koenning",1
"1265","Les Miles","Mike Gundy",4
"1266","Les Miles","Steve Ensminger",1
"1267","Lincoln Riley","Alex Grinch",3
"1268","Lincoln Riley","Bill Bedenbaugh",5
"1269","Lincoln Riley","Cale Gundy",5
"1270","Lincoln Riley","Mike Stoops",2
"1271","Lloyd Carr","Jim Herrmann",6
"1272","Lloyd Carr","Mike DeBord",2
"1273","Lloyd Carr","Ron English",2
"1274","Lloyd Carr","Stan Parrish",2
"1275","Lloyd Carr","Terry Malone",4
"1276","Lou Holtz","Charlie Strong",2
"1277","Lou Holtz","Skip Holtz",2
"1278","Lovie Smith","Garrick McGee",2
"1279","Lovie Smith","Hardy Nickerson",3
"1280","Lovie Smith","Rod Smith",3
"1281","Luke Fickell","Jim Bollman",1
"1282","Luke Fickell","Jim Heacock",1
"1283","Luke Fickell","Marcus Freeman",4
"1284","Luke Fickell","Mike Denbrock",5
"1285","Luke Fickell","Mike Tressel",1
"1286","Mack Brown","Bryan Harsin",2
"1287","Mack Brown","Carl Reese",4
"1288","Mack Brown","Darrell Wyatt",1
"1289","Mack Brown","Duane Akina",4
"1290","Mack Brown","Gene Chizik",2
"1291","Mack Brown","Greg Davis",11
"1292","Mack Brown","Greg Robinson",1
"1293","Mack Brown","Jay Bateman",3
"1294","Mack Brown","Larry Mac Duff",1
