"","College","Coach","Role","Race","year_start","year_end"
"247","Maryland","Mike Locksley","Head Coach","Black",2019,2021
"248","UMass","Charley Molnar","Head Coach","?",2012,2013
"249","UMass","Mark Whipple","Head Coach/Offensive Coordinator","White",2014,2018
"250","UMass","Walt Bell","Head Coach/Offensive Coordinator","White",2019,2021
"251","Memphis","Rip Scherer","Head Coach/Offensive Coordinator","White",2000,2000
"252","Memphis","Tommy West","Head Coach","White",2001,2009
"253","Memphis","Larry Porter","Head Coach","Black",2010,2011
"254","Memphis","Justin Fuente","Head Coach","White",2012,2015
"255","Memphis","Mike Norvell","Head Coach","White",2016,2019
"256","Memphis","Ryan Silverfield","Head Coach","White",2020,2021
"257","Miami","Butch Davis","Head Coach","White",2000,2000
"258","Miami","Larry Coker","Head Coach","White",2001,2006
"259","Miami","Randy Shannon","Head Coach","Black",2007,2010
"260","Miami","Al Golden","Head Coach","White",2011,2015
"261","Miami","Mark Richt","Head Coach","White",2016,2018
"262","Miami","Manny Diaz","Head Coach","Other",2019,2021
"263","Miami (OH)","Terry Hoeppner","Head Coach","White",2000,2004
"264","Miami (OH)","Shane Montgomery","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2005,2008
"265","Miami (OH)","Michael Haywood","Head Coach","Black",2009,2010
"266","Miami (OH)","Don Treadwell","Head Coach","White",2011,2013
"267","Miami (OH)","Chuck Martin","Head Coach","White",2014,2021
"268","Michigan","Lloyd Carr","Head Coach","White",2000,2007
"269","Michigan","Rich Rodriguez","Head Coach","White",2008,2010
"270","Michigan","Brady Hoke","Head Coach","White",2011,2014
"271","Michigan","Jim Harbaugh","Head Coach","White",2015,2021
"272","Michigan State","Bobby Williams","Head Coach","Black",2000,2002
"273","Michigan State","John L. Smith","Head Coach","White",2003,2006
"274","Michigan State","Mark Dantonio","Head Coach","White",2007,2019
"275","Michigan State","Mel Tucker","Head Coach","Black",2020,2021
"276","Middle Tennessee","Andy McCollum","Head Coach","White",2000,2005
"277","Middle Tennessee","Rick Stockstill","Head Coach","White",2006,2021
"278","Minnesota","Glen Mason","Head Coach","White",2000,2006
"279","Minnesota","Tim Brewster","Head Coach","White",2007,2010
"280","Minnesota","Jerry Kill","Head Coach","White",2011,2015
"281","Minnesota","Tracy Claeys","Head Coach","White",2016,2016
"282","Minnesota","P.J. Fleck","Head Coach","White",2017,2021
"283","Mississippi State","Jackie Sherrill","Head Coach","White",2000,2003
"284","Mississippi State","Sylvester Croom","Head Coach","Black",2004,2008
"285","Mississippi State","Dan Mullen","Head Coach","White",2009,2017
"286","Mississippi State","Joe Moorhead","Head Coach","White",2018,2019
"287","Mississippi State","Mike Leach","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"288","Missouri","Larry Smith","Head Coach","White",2000,2000
"289","Missouri","Gary Pinkel","Head Coach","White",2001,2015
"290","Missouri","Barry Odom","Head Coach","White",2016,2019
"291","Missouri","Eliah Drinkwitz","Head Coach/Offensive Coordinator","White",2020,2021
"292","Navy","Charlie Weatherbie","Head Coach","White",2000,2001
"293","Navy","Paul Johnson","Head Coach/Offensive Coordinator","White",2002,2007
"294","Navy","Ken Niumatalolo","Head Coach","Other",2008,2021
"295","NC State","Chuck Amato","Head Coach","White",2000,2006
"296","NC State","Tom O'Brien","Head Coach","White",2007,2012
"297","NC State","Dave Doeren","Head Coach","White",2013,2021
"298","Nebraska","Frank Solich","Head Coach/Offensive Coordinator","White",2000,2003
"299","Nebraska","Bill Callahan","Head Coach","White",2004,2007
"300","Nebraska","Bo Pelini","Head Coach","White",2008,2014
"301","Nebraska","Mike Riley","Head Coach","White",2015,2017
"302","Nebraska","Scott Frost","Head Coach","White",2018,2021
"303","Nevada","Chris Tormey","Head Coach","White",2000,2003
"304","Nevada","Chris Ault","Head Coach","White",2004,2012
"305","Nevada","Brian Polian","Head Coach","White",2013,2016
"306","Nevada","Jay Norvell","Head Coach","Black",2017,2021
"307","New Mexico","Rocky Long","Head Coach","White",2000,2008
"308","New Mexico","Mike Locksley","Head Coach","Black",2009,2011
"309","New Mexico","Bob Davie","Head Coach","White",2012,2019
"310","New Mexico","Danny Gonzales","Head Coach","White",2020,2021
"311","New Mexico State","Tony Samuel","Head Coach","Black",2000,2004
"312","New Mexico State","Hal Mumme","Head Coach/Offensive Coordinator","White",2005,2008
"313","New Mexico State","DeWayne Walker","Head Coach","Black",2009,2012
"314","New Mexico State","Doug Martin","Head Coach/Special Teams Coordinator","White",2013,2021
"315","North Carolina","Carl Torbush","Head Coach","White",2000,2000
