"","College","Season","Coach","username","Coach.1","Role","Race"
"131","Arkansas",2012,"John L. Smith","john-l-smith","John L. Smith","Head Coach","White"
"132","Arkansas",2013,"Bret Bielema","bret-bielema","Bret Bielema","Head Coach","White"
"133","Arkansas",2014,"Bret Bielema","bret-bielema","Bret Bielema","Head Coach","White"
"134","Arkansas",2015,"Bret Bielema","bret-bielema","Bret Bielema","Head Coach","White"
"135","Arkansas",2016,"Bret Bielema","bret-bielema","Bret Bielema","Head Coach","White"
"136","Arkansas",2017,"Bret Bielema","bret-bielema","Bret Bielema","Head Coach","White"
"137","Arkansas",2018,"Chad Morris","chad-morris","Chad Morris","Head Coach","White"
"138","Arkansas",2019,"Chad Morris","chad-morris","Chad Morris","Head Coach","White"
"139","Arkansas",2020,"Sam Pittman","sam-pittman","Sam Pittman","Head Coach","White"
"140","Arkansas",2021,"Sam Pittman","sam-pittman","Sam Pittman","Head Coach","White"
"141","Arkansas State",2000,"Joe Hollis","joe-hollis","Joe Hollis","Head Coach","White"
"142","Arkansas State",2001,"Joe Hollis","joe-hollis","Joe Hollis","Head Coach","White"
"143","Arkansas State",2002,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"144","Arkansas State",2003,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"145","Arkansas State",2004,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"146","Arkansas State",2005,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"147","Arkansas State",2006,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"148","Arkansas State",2007,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"149","Arkansas State",2008,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"150","Arkansas State",2009,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"151","Arkansas State",2010,"Steve Roberts","steve-roberts","Steve Roberts","Head Coach","White"
"152","Arkansas State",2011,"Hugh Freeze","hugh-freeze","Hugh Freeze","Head Coach/Offensive Coordinator","White"
"153","Arkansas State",2012,"Gus Malzahn","gus-malzahn","Gus Malzahn","Head Coach","White"
"154","Arkansas State",2013,"Bryan Harsin","bryan-harsin","Bryan Harsin","Head Coach","White"
