"","Coach","Team","Race","Net_PPA","Net_SR","Net_Stuff_Rate","Net_Pass_SR","Net_FPI","Tenure","total_sr","total_stuffs","total_pass_sr","total_ppa"
"51","Charles Huff","Marshall","Black",0.00376779512892837,0.00499737213604901,0.0166993336556211,0.0464422403944145,1.43333333333333,1,0.00499737213604901,0.0166993336556211,0.0464422403944145,0.00376779512892837
"52","Charley Molnar","UMass","Other",-0.0927566316500516,-0.106114059483925,0.109281997651956,-0.134303088157797,NA,2,-0.21222811896785,0.218563995303912,-0.268606176315595,-0.185513263300103
"53","Charlie Partridge","Florida Atlantic","White",-0.0939541269380364,-0.0220230423396828,0.0480198501609412,-0.0211331576272156,NA,3,-0.0660691270190483,0.144059550482824,-0.0633994728816467,-0.281862380814109
"54","Charlie Strong","Louisville","Black",0.0740514191484224,0.019747265273295,0.0514798271037026,0.0963112360707236,7.20833333333333,4,0.0789890610931798,0.20591930841481,0.385244944282894,0.296205676593689
"55","Charlie Strong","South Florida","Black",-0.0203436258568419,0.0328465190504516,-0.0386367066669465,0.0407406211547665,NA,3,0.0985395571513547,-0.11591012000084,0.122221863464299,-0.0610308775705256
"56","Charlie Strong","Texas","Black",-0.00649663881793222,-0.0225105566875171,0.0743911833578144,-0.0232926587225643,-6.53333333333333,3,-0.0675316700625512,0.223173550073443,-0.0698779761676929,-0.0194899164537967
"57","Charlie Weis","Kansas","White",-0.06585446637114,-0.0238369171089075,0.0111631599828033,-0.0581622164652235,-3.06666666666667,3,-0.0715107513267224,0.03348947994841,-0.17448664939567,-0.19756339911342
"58","Charlie Weis","Notre Dame","White",0.052340220848323,0.082885093037938,-0.0760284427347198,0.0552848069921147,5.03333333333333,1,0.082885093037938,-0.0760284427347198,0.0552848069921147,0.052340220848323
"59","Chip Kelly","Oregon","White",0.0704796714975124,-0.0110646115202134,0.0317738120969248,0.0422826598140282,7.925,4,-0.0442584460808537,0.127095248387699,0.169130639256113,0.28191868599005
"60","Chip Kelly","UCLA","White",-0.0604798195511785,-0.0109544683276372,-0.0840279024003122,-0.0500194825100784,-4.48333333333333,4,-0.043817873310549,-0.336111609601249,-0.200077930040313,-0.241919278204714
"61","Chip Lindsey","Troy","White",-0.0899532612992226,-0.0372916139660927,0.0628147792365797,-0.0396580747851223,-6.43333333333333,3,-0.111874841898278,0.188444337709739,-0.118974224355367,-0.269859783897668
"62","Chris Ash","Rutgers","White",-0.123622843813868,-0.0835803117565212,0.0391909223046448,-0.0663759260669363,-9.10833333333333,4,-0.334321247026085,0.156763689218579,-0.265503704267745,-0.494491375255472
"63","Chris Creighton","Eastern Michigan","White",-0.0117209242365753,0.0143269197802441,0.0134140993529574,0.0845284654471071,NA,8,0.114615358241953,0.107312794823659,0.676227723576857,-0.0937673938926022
"64","Chris Klieman","Kansas State","White",-0.00663312948876055,0.0162280340884254,0.0228799044187316,0.0514093398093102,-1.7,3,0.0486841022652761,0.0686397132561949,0.154228019427931,-0.0198993884662816
"65","Chris Petersen","Boise State","White",0.0635135765268591,0.0496833719367976,-0.0410311139704944,0.120250401536656,7.5875,8,0.39746697549438,-0.328248911763955,0.962003212293244,0.508108612214873
"66","Chris Petersen","Washington","White",0.136995333104231,0.0566641604827933,-0.00170049271493047,0.0244524133784417,7.21666666666667,6,0.33998496289676,-0.0102029562895828,0.14671448027065,0.821971998625388
