"","College","Season","Coach","username","Coach.1","Role","Race"
"93","Arizona",2021,"Don Brown","don-brown","Don Brown","Defensive Coordinator","White"
"94","Arizona State",2000,"Phil Snow","phil-snow","Phil Snow","Defensive Coordinator/Cornerbacks Coach","White"
"95","Arizona State",2001,"Brent Guy","brent-guy","Brent Guy","Defensive Coordinator/Linebackers Coach","White"
"96","Arizona State",2002,"Brent Guy","brent-guy","Brent Guy","Defensive Coordinator/Linebackers Coach","White"
"97","Arizona State",2003,"Brent Guy","brent-guy","Brent Guy","Defensive Coordinator/Linebackers Coach","White"
"98","Arizona State",2004,"Brent Guy","brent-guy","Brent Guy","Defensive Coordinator/Linebackers Coach","White"
"99","Arizona State",2005,"Bill Miller","bill-miller","Bill Miller","Defensive Coordinator/Linebackers Coach","White"
"100","Arizona State",2006,"Bill Miller","bill-miller","Bill Miller","Defensive Coordinator/Linebackers Coach","White"
"101","Arizona State",2007,"Craig Bray","craig-bray","Craig Bray","Defensive Coordinator/Linebackers Coach","White"
"102","Arizona State",2008,"Craig Bray","craig-bray","Craig Bray","Defensive Coordinator/Linebackers Coach","White"
"103","Arizona State",2009,"Craig Bray","craig-bray","Craig Bray","Defensive Coordinator/Linebackers Coach","White"
"104","Arizona State",2010,"Craig Bray","craig-bray","Craig Bray","Defensive Coordinator/Safeties Coach","White"
"105","Arizona State",2011,"Craig Bray","craig-bray","Craig Bray","Defensive Coordinator/Safeties Coach","White"
"106","Arizona State",2012,"Paul Randolph","paul-randolph","Paul Randolph","Defensive Coordinator/Defensive Line Coach","Black"
"107","Arizona State",2012,"Ron West","ron-west","Ron West","Defensive Coordinator/Linebackers Coach","White"
"108","Arizona State",2013,"Chris Ball","chris-ball","Chris Ball","Defensive Coordinator/Safeties Coach","White"
"109","Arizona State",2013,"Paul Randolph","paul-randolph","Paul Randolph","Defensive Coordinator/Linebackers Coach","Black"
"110","Arizona State",2014,"Chris Ball","chris-ball","Chris Ball","Defensive Coordinator/Defensive Backs Coach","White"
"111","Arizona State",2015,"Chris Ball","chris-ball","Chris Ball","Defensive Coordinator/Defensive Backs Coach","White"
"112","Arizona State",2015,"Keith Patterson","keith-patterson","Keith Patterson","Defensive Coordinator/Linebackers Coach","White"
"113","Arizona State",2016,"Keith Patterson","keith-patterson","Keith Patterson","Defensive Coordinator/Linebackers Coach","White"
"114","Arizona State",2017,"Phil Bennett","phil-bennett","Phil Bennett","Defensive Coordinator","White"
"115","Arizona State",2018,"Danny Gonzales","danny-gonzales","Danny Gonzales","Defensive Coordinator/Safeties Coach","White"
"116","Arizona State",2020,"Marvin Lewis","marvin-lewis","Marvin Lewis","Defensive Coordinator","Black"
"117","Arkansas",2000,"Bobby Allen","bobby-allen","Bobby Allen","Defensive Coordinator/Linebackers Coach","White"
"118","Arkansas",2000,"John Thompson","john-thompson","John Thompson","Defensive Coordinator/Defensive Backs Coach","White"
"119","Arkansas",2001,"John Thompson","john-thompson","John Thompson","Defensive Coordinator/Inside Linebackers Coach","White"
"120","Arkansas",2002,"Dave Wommack","dave-wommack","Dave Wommack","Defensive Coordinator/Cornerbacks Coach","White"
"121","Arkansas",2003,"Dave Wommack","dave-wommack","Dave Wommack","Defensive Coordinator/Inside Linebackers Coach","White"
"122","Arkansas",2004,"Dave Wommack","dave-wommack","Dave Wommack","Defensive Coordinator/Inside Linebackers Coach","White"
"123","Arkansas",2005,"Reggie Herring","reggie-herring","Reggie Herring","Defensive Coordinator/Linebackers Coach","White"
"124","Arkansas",2006,"Reggie Herring","reggie-herring","Reggie Herring","Defensive Coordinator/Linebackers Coach","White"
"125","Arkansas",2007,"Reggie Herring","reggie-herring","Reggie Herring","Defensive Coordinator/Linebackers Coach","White"
"126","Arkansas",2008,"Willy Robinson","willy-robinson","Willy Robinson","Defensive Coordinator/Safeties Coach","White"
"127","Arkansas",2009,"Willy Robinson","willy-robinson","Willy Robinson","Defensive Coordinator/Defensive Backs Coach","White"
"128","Arkansas",2010,"Willy Robinson","willy-robinson","Willy Robinson","Defensive Coordinator/Defensive Backs Coach","White"
"129","Arkansas",2011,"Willy Robinson","willy-robinson","Willy Robinson","Defensive Coordinator/Defensive Backs Coach","White"
"130","Arkansas",2012,"Paul Haynes","paul-haynes","Paul Haynes","Defensive Coordinator/Defensive Backs Coach","Black"
"131","Arkansas",2013,"Chris Ash","chris-ash","Chris Ash","Defensive Coordinator/Defensive Backs Coach","White"
"132","Arkansas",2014,"Robb Smith","robb-smith","Robb Smith","Defensive Coordinator/Defensive Backs Coach","White"
"133","Arkansas",2015,"Robb Smith","robb-smith","Robb Smith","Defensive Coordinator/Defensive Backs Coach","White"
"134","Arkansas",2016,"Robb Smith","robb-smith","Robb Smith","Defensive Coordinator/Defensive Backs Coach","White"
"135","Arkansas",2017,"Paul Rhoads","paul-rhoads","Paul Rhoads","Defensive Coordinator/Defensive Backs Coach","White"
"136","Arkansas",2018,"John Chavis","john-chavis","John Chavis","Defensive Coordinator/Linebackers Coach","White"
"137","Arkansas",2019,"John Chavis","john-chavis","John Chavis","Defensive Coordinator/Linebackers Coach","White"
"138","Arkansas",2020,"Barry Odom","barry-odom","Barry Odom","Defensive Coordinator/Safeties Coach","White"
"139","Arkansas State",2000,"Leon Burtnett","leon-burtnett","Leon Burtnett","Defensive Coordinator","White"
"140","Arkansas State",2001,"Leon Burtnett","leon-burtnett","Leon Burtnett","Defensive Coordinator","White"
"141","Arkansas State",2002,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"142","Arkansas State",2002,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"143","Arkansas State",2003,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"144","Arkansas State",2003,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"145","Arkansas State",2004,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"146","Arkansas State",2004,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"147","Arkansas State",2005,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"148","Arkansas State",2005,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"149","Arkansas State",2006,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"150","Arkansas State",2006,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"151","Arkansas State",2007,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"152","Arkansas State",2007,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"153","Arkansas State",2008,"Jack Curtis","jack-curtis","Jack Curtis","Defensive Coordinator/Safeties Coach","White"
"154","Arkansas State",2008,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"155","Arkansas State",2009,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"156","Arkansas State",2010,"Kevin Corless","kevin-corless","Kevin Corless","Defensive Coordinator/Linebackers Coach","White"
"157","Arkansas State",2011,"Dave Wommack","dave-wommack","Dave Wommack","Defensive Coordinator","White"
"158","Arkansas State",2012,"John Thompson","john-thompson","John Thompson","Defensive Coordinator/Linebackers Coach","White"
"159","Arkansas State",2014,"Joe Cauthen","joe-cauthen","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White"
"160","Arkansas State",2015,"Joe Cauthen","joe-cauthen","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White"
"161","Arkansas State",2016,"Joe Cauthen","joe-cauthen","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White"
"162","Arkansas State",2017,"Joe Cauthen","joe-cauthen","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White"
"163","Arkansas State",2018,"Joe Cauthen","joe-cauthen","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White"
"164","Arkansas State",2019,"David Duggan","david-duggan","David Duggan","Defensive Coordinator/Linebackers Coach","White"
"165","Army",2000,"Dennis Therrell","dennis-therrell","Dennis Therrell","Defensive Coordinator/Defensive Backs Coach","White"
"166","Army",2001,"Dennis Therrell","dennis-therrell","Dennis Therrell","Defensive Coordinator/Defensive Backs Coach","White"
"167","Army",2002,"Dennis Therrell","dennis-therrell","Dennis Therrell","Defensive Coordinator/Defensive Backs Coach","White"
"168","Army",2003,"Dennis Therrell","dennis-therrell","Dennis Therrell","Defensive Coordinator/Inside Linebackers Coach","White"
"169","Army",2004,"John Mumford","john-mumford","John Mumford","Defensive Coordinator/Defensive Line Coach","White"
"170","Army",2005,"John Mumford","john-mumford","John Mumford","Defensive Coordinator/Defensive Line Coach","White"
