"","College","Coach","Role","Race","year_start","year_end"
"157","BYU","Ty Detmer","Offensive Coordinator/Quarterbacks Coach","White",2016,2017
"158","BYU","Jeff Grimes","Offensive Coordinator","White",2018,2020
"159","BYU","Aaron Roderick","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"160","California","Steve Hagen","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"161","California","Al Borges","Offensive Coordinator/Quarterbacks Coach","White",2001,2001
"162","California","George Cortez","Offensive Coordinator/Quarterbacks Coach","White",2002,2005
"163","California","Mike Dunbar","Offensive Coordinator/Quarterbacks Coach","White",2006,2006
"164","California","Jim Michalczik","Offensive Coordinator/Offensive Line Coach","White",2007,2012
"165","California","Frank Cignetti Jr.","Offensive Coordinator/Quarterbacks Coach","White",2008,2008
"166","California","Andy Ludwig","Offensive Coordinator/Quarterbacks Coach","White",2009,2010
"167","California","Tony Franklin","Offensive Coordinator/Quarterbacks Coach","White",2013,2015
"168","California","Jake Spavital","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"169","California","Beau Baldwin","Offensive Coordinator/Running Backs Coach","White",2017,2019
"170","California","Bill Musgrave","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"171","Central Michigan","Butch Jones","Offensive Coordinator/Running Backs Coach","White",2001,2003
"172","Central Michigan","Mike Bajakian","Offensive Coordinator/Quarterbacks Coach","White",2007,2009
"173","Central Michigan","Mike Cummings","Offensive Coordinator/Offensive Line Coach","White",2010,2013
"174","Central Michigan","Morris Watts","Offensive Coordinator/Quarterbacks Coach","White",2014,2016
"175","Central Michigan","Chris Ostrowsky","Offensive Coordinator/Quarterbacks Coach","White",2017,2018
"176","Central Michigan","Charlie Frye","Offensive Coordinator/Quarterbacks Coach","White",2019,2020
"177","Central Michigan","Kevin Barbay","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"178","Charlotte","Jeff Mullen","Offensive Coordinator/Quarterbacks Coach","White",2015,2017
"179","Charlotte","Shane Montgomery","Offensive Coordinator/Quarterbacks Coach","White",2018,2018
"180","Charlotte","Alex Atkins","Offensive Coordinator/Offensive Line Coach","Black",2019,2019
"181","Charlotte","Mark Carney","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"182","Cincinnati","Joe Daniels","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"183","Cincinnati","Dave Baldwin","Offensive Coordinator/Quarterbacks Coach","White",2001,2001
"184","Cincinnati","Rusty Burns","Offensive Coordinator/Wide Receivers Coach","White",2002,2003
"185","Cincinnati","Don Treadwell","Offensive Coordinator/Wide Receivers Coach","White",2004,2006
"186","Cincinnati","Jeff Quinn","Offensive Coordinator/Offensive Line Coach","White",2007,2009
"187","Cincinnati","Mike Bajakian","Offensive Coordinator/Quarterbacks Coach","White",2010,2012
"188","Cincinnati","Eddie Gran","Offensive Coordinator/Running Backs Coach","White",2013,2015
"189","Cincinnati","Zac Taylor","Offensive Coordinator/Quarterbacks Coach","White",2016,2016
"190","Cincinnati","Mike Denbrock","Offensive Coordinator/Quarterbacks Coach","White",2017,2021
"191","Clemson","Brad Scott","Offensive Coordinator/Tight Ends Coach","White",2003,2003
"192","Clemson","Mike O'Cain","Offensive Coordinator/Quarterbacks Coach","White",2004,2004
"193","Clemson","Rob Spence","Offensive Coordinator/Quarterbacks Coach","White",2005,2008
"194","Clemson","Billy Napier","Offensive Coordinator/Quarterbacks Coach","White",2009,2010
"195","Clemson","Chad Morris","Offensive Coordinator/Quarterbacks Coach","White",2011,2014
"196","Clemson","Jeff Scott","Offensive Coordinator/Wide Receivers Coach","White",2015,2019
"197","Clemson","Tony Elliott","Offensive Coordinator/Running Backs Coach","Black",2015,2020
"198","Coastal Carolina","Jamey Chadwell","Offensive Coordinator/Quarterbacks Coach","White",2018,2018
"199","Coastal Carolina","Newland Isaac","Offensive Coordinator/Running Backs Coach","Black",2019,2021
"200","Coastal Carolina","Willy Korn","Offensive Coordinator/Quarterbacks Coach","White",2019,2021
"201","Colorado","Shawn Watson","Offensive Coordinator/Quarterbacks Coach","White",2000,2005
"202","Colorado","Mark Helfrich","Offensive Coordinator/Quarterbacks Coach","White",2006,2008
"203","Colorado","Eric Kiesau","Offensive Coordinator/Quarterbacks Coach","White",2009,2010
"204","Colorado","Eric Bieniemy","Offensive Coordinator/Running Backs Coach","Black",2011,2012
"205","Colorado","Brian Lindgren","Offensive Coordinator/Quarterbacks Coach","White",2013,2017
"206","Colorado","Darrin Chiaverini","Offensive Coordinator/Wide Receivers Coach","White",2016,2021
"207","Colorado","Klayton Adams","Offensive Coordinator/Offensive Line Coach","White",2018,2018
"208","Colorado","Jay Johnson","Offensive Coordinator/Quarterbacks Coach","White",2019,2019
"209","Colorado State","Steve Fairchild","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"210","Colorado State","Dan Hammerschmidt","Offensive Coordinator/Quarterbacks Coach","White",2001,2007
"211","Colorado State","John Benton","Offensive Coordinator/Offensive Line Coach","White",2001,2003
"212","Colorado State","Dave Lay","Offensive Coordinator/Tight Ends Coach","White",2007,2007
"213","Colorado State","Greg Peterson","Offensive Coordinator/Wide Receivers Coach","White",2008,2009
"214","Colorado State","Pat Meyer","Offensive Coordinator/Offensive Line Coach","White",2010,2011
"215","Colorado State","Dave Baldwin","Offensive Coordinator/Tight Ends Coach","White",2012,2014
"216","Colorado State","Will Friend","Offensive Coordinator/Offensive Line Coach","White",2015,2017
"217","Colorado State","Dave Johnson","Offensive Coordinator/Offensive Line Coach","White",2018,2019
"218","Colorado State","Joey Lynch","Offensive Coordinator/Quarterbacks Coach","White",2020,2020
"219","Colorado State","Jon Budmayr","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"220","Duke","Jim Pry","Offensive Coordinator/Quarterbacks Coach","White",2003,2003
"221","Duke","Marty Galbraith","Offensive Coordinator/Tight Ends Coach","White",2004,2004
"222","Duke","Bill O'Brien","Offensive Coordinator/Quarterbacks Coach","White",2005,2006
"223","Duke","Peter Vaas","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"224","Duke","Kurt Roper","Offensive Coordinator/Quarterbacks Coach","White",2008,2012
"225","Duke","Matt Luke","Offensive Coordinator/Offensive Line Coach","White",2008,2011
"226","Duke","Scottie Montgomery","Offensive Coordinator/Wide Receivers Coach","Black",2013,2015
"227","Duke","Zac Roper","Offensive Coordinator/Quarterbacks Coach","White",2016,2020
"228","Duke","Jeff Faris","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"229","Duke","Re'quan Boyette","Wide Receivers Coach/Offensive Coordinator","Black",2021,2021
"230","East Carolina","Doug Martin","Offensive Coordinator/Quarterbacks Coach","White",2000,2002
"231","East Carolina","Rick Stockstill","Offensive Coordinator/Quarterbacks Coach","White",2003,2003
"232","East Carolina","Noah Brindise","Offensive Coordinator/Quarterbacks Coach","White",2004,2004
"233","East Carolina","Steve Shankweiler","Offensive Coordinator/Offensive Line Coach","White",2005,2009
"234","East Carolina","Todd Fitch","Offensive Coordinator/Quarterbacks Coach","White",2007,2009
"235","East Carolina","Lincoln Riley","Offensive Coordinator/Quarterbacks Coach","White",2010,2014
"236","East Carolina","Dave Nichol","Offensive Coordinator/Quarterbacks Coach","White",2015,2015
"237","East Carolina","Tony Petersen","Offensive Coordinator/Quarterbacks Coach","White",2016,2018
