"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa302","Graham Harrell","North Texas","White",0.140908349745411,0.0372723752740447,0.020066423452779,0.0537412558623039
"mean_ppa303","Graham Harrell","USC","White",-0.00811539068396497,0.0124778368137305,0.00284655591200997,0.0202840522813171
"mean_ppa304","Grant Heard","Indiana","Black",-0.076741121758869,-0.059930315400414,-0.00646758412178688,-0.0761933258553537
"mean_ppa305","Greg Adkins","Marshall","White",0.0394907583810748,0.0379873531150925,-0.0546262832916727,0.0252941191949813
"mean_ppa306","Greg Davis","Iowa","White",0.0323941936579291,0.000154254686789645,-0.024847023990807,-0.0329395066545591
"mean_ppa307","Greg Davis Jr.","Tulane","White",-0.0100886460694971,-0.0102078468415015,-0.0302166904540507,-0.0219199280833618
"mean_ppa308","Greg Forest","Buffalo","White",-0.112850459427149,-0.0684121110813612,-0.0320452588469449,-0.0912854052236531
"mean_ppa309","Greg Frey","Indiana","White",0.100303934854804,0.0197128013685379,0.0187070999212269,0.00991729620975151
"mean_ppa310","Greg Gregory","South Florida","White",0.0203637828475534,0.0435051395738931,-0.00896237585983728,0.060424859008372
"mean_ppa311","Greg Peterson","Colorado State","White",0.007466243571397,0.0260190875734232,-0.0378993201295184,0.00703873167641283
"mean_ppa312","Greg Peterson","Tulsa","White",-0.0723563329029509,-0.0440749610388144,0.0273326495213212,-0.0498234948064279
"mean_ppa313","Greg Studrawa","LSU","White",0.0211331792532965,0.00791870355959073,-0.0334053462932397,0.0176908559937847
"mean_ppa314","Gregg Brandon","New Mexico State","White",0.0840461339550855,0.0358694391586717,-0.00986740844277292,0.0582920571353338
"mean_ppa315","Gregg Brandon","Virginia","White",-0.0196576075401069,0.00580272579191915,-0.0164655232021268,-0.0230114027883971
"mean_ppa316","Gregg Brandon","Wyoming","White",0.0736401733304613,0.0357240418722699,-0.0234110262653205,0.0367887283193197
"mean_ppa317","Gunter Brewer","North Carolina","White",0.128193763321035,0.0081721323197631,0.00880836604105029,-0.0116810928765311
"mean_ppa318","Gunter Brewer","Oklahoma State","White",-0.0134412350153312,0.0125664733794105,0.0261083172438536,0.0716692502769977
"mean_ppa319","Gus Malzahn","Arkansas","White",-0.0138210553357889,0.00280748232136002,-0.0156655020849769,0.0227017262143717
"mean_ppa320","Gus Malzahn","Auburn","White",0.0712014311899427,0.0435408319318874,-0.0523224994649328,0.0130248502067555
"mean_ppa321","Gus Malzahn","Tulsa","White",0.0488038009193826,0.0591396104687906,-0.0343866613112327,0.0411380532308823
"mean_ppa322","Hal Mumme","SMU","White",0.0359249670128298,0.015579171766831,0.0157710036215218,0.0416912521978932
"mean_ppa323","Herb Hand","Texas","White",0.113550877185228,0.0307363282486987,0.00628434893452354,0.0622627124943352
"mean_ppa324","Herb Hand","Tulsa","White",0.0192742257491586,0.0418072045837082,-0.02923674073307,0.0213482647377869
"mean_ppa325","Hugh Freeze","Arkansas State","White",0.0500953640169264,0.0352517449619406,-0.0309687729096136,0.0908394476052241
"mean_ppa326","Ian Shields","Army","White",0.136703704301973,0.0585721666829275,-0.0737680900797726,0.0347532744384807
"mean_ppa327","Ivin Jasper","Navy","Black",0.0502435664005254,-0.0108926351098507,0.0108230039572594,0.0153898524460806
"mean_ppa328","Jacob Peeler","Texas State","White",0.0978023486074166,0.0342718715162482,-0.0934765049224467,0.0225198178650601
"mean_ppa329","Jake Moreland","Western Michigan","Black",-0.0690071067270829,-0.024217608496353,0.0157697290915491,-0.0361519739104996
"mean_ppa330","Jake Peetz","LSU","White",-0.0708909175524954,-0.0679114262456929,-0.0197503421036128,-0.0461127592379212
"mean_ppa331","Jake Spavital","California","White",0.0167113296567378,0.00754217864288931,-0.0261633598406708,-0.00461446146426264
"mean_ppa332","Jake Spavital","Texas A&M","White",0.0702796335536562,0.0248058050621121,-0.0176804907204498,0.0227621691195501
"mean_ppa333","Jake Spavital","West Virginia","White",0.077145100828879,0.0115860085938805,0.00294884031011364,0.0405712157659485
"mean_ppa334","JaMarcus Shephard","Purdue","Black",0.0960310911787368,0.0332727655445109,0.0462807808667957,0.0658198767832551
"mean_ppa335","James Coley","Florida International","White",-0.0690717527755875,-0.0267690828273047,-0.0165815798347166,-0.0831053351573188
"mean_ppa336","James Coley","Florida State","White",0.0322378921994788,0.0147717233664876,-0.0211909767860621,0.0214412860660234
"mean_ppa337","James Coley","Georgia","White",0.0844791440379709,0.0484167078197709,-0.006816193134073,0.0749150403186742
"mean_ppa338","James Coley","Miami","White",0.114138712469166,0.0178252372289556,0.0020119778765523,0.0136761650713584
"mean_ppa339","James Franklin","Kansas State","Black",0.0317082589028519,0.0943499222257046,-0.0723754789272031,0.101330335009356
"mean_ppa340","James Franklin","Maryland","Black",-0.0302230334125591,-0.0383915697400718,-0.0218165601382954,-0.0345428311039714
"mean_ppa341","Jamey Chadwell","Coastal Carolina","White",0.0651971501286037,0.0447103909637946,-0.0453601758366709,0.0240674621339274
"mean_ppa342","Jarrett Anderson","TCU","White",0.0108950296279099,0.00502126254851565,0.00699334559840462,-0.000580048309754722
"mean_ppa343","Jason Candle","Toledo","White",0.118865702201659,0.0529354446162083,-0.0437672782627189,0.0113329293539577
"mean_ppa344","Jason Phillips","Houston","Black",0.0684620471422449,0.067255644300374,-0.0419061588439943,0.097133396158225
"mean_ppa345","Jason Phillips","SMU","Black",-0.0500239655531308,-0.040508854783165,-0.00856005795062259,-0.0530757828145052
"mean_ppa346","Jay Graham","Texas A&M","Black",-0.0178110271336855,0.0360023209497532,-0.00818109155778485,0.0182557339434659
"mean_ppa347","Jay Johnson","Colorado","White",0.0326058805921046,0.0152766115637616,-0.0360285347335847,-0.00596265768424448
"mean_ppa348","Jay Johnson","Louisiana","White",0.0902257242220328,0.0446589879556433,-0.0203925063130314,0.0468826535918799
"mean_ppa349","Jay Johnson","Michigan State","White",0.0575977023524823,-0.0235460588834822,-0.00522092501356891,-0.00323163970609835
"mean_ppa350","Jay Johnson","Minnesota","White",-0.00380899055255533,0.0146740910411329,0.0277546552462054,0.00437346419188478
"mean_ppa351","Jay Norvell","Oklahoma","Black",0.0633862250559446,0.0274412548442044,-0.0139728294506094,0.00204492222595026
"mean_ppa352","Jay Norvell","Texas","Black",0.0933540768925223,-0.00903188094328111,-0.00162544063746259,-0.0957414525254024
"mean_ppa353","Jay Norvell","UCLA","Black",-0.083731168789857,-0.0373909805405561,0.0059829053329325,-0.0591441011495057
"mean_ppa354","Jedd Fisch","Miami","White",0.0397288338607894,0.0158806235480189,-0.00952566927336609,0.0255490081201165
"mean_ppa355","Jedd Fisch","Minnesota","White",-0.0471035175134362,-0.0510313873722955,0.00551084642700359,-0.0459624947979209
"mean_ppa356","Jeff Brohm","Louisville","White",-0.13637940086698,-0.0620664887251348,0.0517812413486223,-0.113471181284861
"mean_ppa357","Jeff Brohm","UAB","White",0.00877507381696972,-0.0277156635628847,0.0118869362413608,0.00116571410389499
"mean_ppa358","Jeff Conway","Texas State","White",0.143416286392173,0.0358814148993086,-0.0436139839696366,0.000976770571102126
"mean_ppa359","Jeff Faris","Duke","White",0.0556080129205096,0.0244352842609749,-0.0604560057781879,0.0604602256377921
"mean_ppa360","Jeff Grimes","Baylor","White",0.102477176025734,0.0337271045201773,-0.0724870380248547,0.050392104661292
"mean_ppa361","Jeff Grimes","BYU","White",0.110313684349463,0.0498818241029438,0.00605918882286841,0.0720829796137418
"mean_ppa362","Jeff Hecklinski","San Diego State","White",-0.0363037193757891,-0.0209919076980048,-0.00697077127952239,-0.0107021306400319
"mean_ppa363","Jeff Horton","Minnesota","White",0.00657201088093955,-0.00580551034117482,0.00436590108284929,-0.00851592361111803
"mean_ppa364","Jeff Horton","San Diego State","White",0.0809552954960993,0.00457026668963278,0.0234308785421343,0.0208688497514841
"mean_ppa365","Jeff Jagodzinski","Georgia State","White",0.156355077433369,0.100215741126029,-0.0258039945831945,0.152563269974839
"mean_ppa366","Jeff Kastl","UT San Antonio","White",0.0198543701080781,-0.00784295829634812,-0.0313698547267809,-0.0077456309551262
"mean_ppa367","Jeff Lebby","Ole Miss","White",0.0410789541393419,0.0041357269685573,-0.0255566761055654,0.0293756386491004
"mean_ppa368","Jeff Lebby","UCF","White",0.188114696897513,0.060620842297236,-0.0624733070880119,0.0416912359696402
"mean_ppa369","Jeff Mullen","Charlotte","White",-0.0184900197254992,-0.042745895757299,-0.0158993921062014,-0.0598071165265547
"mean_ppa370","Jeff Mullen","West Virginia","White",-0.0828704866690718,0.00228820453985934,-0.0134911935234173,0.00148627486988029
"mean_ppa371","Jeff Nixon","Baylor","Black",0.211138530994793,0.0528771415295147,-0.0676581957449482,0.0309289569004093
"mean_ppa372","Jeff Quinn","Cincinnati","White",-0.306820636354211,-0.116349472400282,0.0821969051067349,-0.10707142904572
"mean_ppa373","Jeff Scott","Clemson","White",0.0788176412378093,0.073527983686409,-0.0314755300670551,0.145910305210692
"mean_ppa374","Jerry Kill","Rutgers","White",0.0268990254963215,0.0353598246989478,0.01650725319658,-0.0354777091790351
"mean_ppa375","Jerry Mack","Rice","Black",0.128163622585501,0.0287819994379078,-0.0349958583393503,-0.00439437600201886
"mean_ppa376","Jerry McManus","New Mexico State","White",-0.141627296120352,-0.0774360928768523,0.0295541772032271,-0.0703027669978921
"mean_ppa377","Jim Bollman","Michigan State","White",-0.102819269190386,-0.0392724400843862,0.0134752460856149,0.0249016218110072
"mean_ppa378","Jim Chaney","Arkansas","White",-0.143302096566552,-0.0293093680446058,0.0165895648328767,-0.0203553680333405
"mean_ppa379","Jim Chaney","Georgia","White",0.0453659751473725,0.00872488430593932,0.0105404735810054,0.0527141301967634
"mean_ppa380","Jim Chaney","Pittsburgh","White",0.0647924905449577,0.0441054464347226,-0.0255349866559557,0.0588906269522288
"mean_ppa381","Jim Chaney","Tennessee","White",-0.140939902240775,-0.0406643816796101,0.0455234604104509,-0.00369006542437272
"mean_ppa382","Jim Harding","Utah","White",-0.0485421844773932,-0.0320151873146947,0.0265328344551833,-0.0550258981656713
"mean_ppa383","Jim Harding","Wyoming","White",-0.0800538141898718,-0.0765654529595341,0.07653472197597,-0.0629912934401306
"mean_ppa384","Jim McElwain","Alabama","White",-0.0596117686525488,-0.0245268739094263,0.0241387815007819,-0.0705658832619657
