"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"686","Manny Michel",0,4.88679733962753e-07,1,1.05513094800021e-05,"White",TRUE
"687","Phil Elmassian",0,4.88679733962753e-07,4,0.00029342488652104,"White",TRUE
"688","Troy Reffett",0,4.88679733962753e-07,5,0.000753006851573598,"White",TRUE
"689","Adam Waugh",0,4.88679733962753e-07,1,1.66973242712758e-05,"White",TRUE
"690","Scott Stoker",0,4.88679733962753e-07,2,2.96850795371547e-05,"White",TRUE
"691","Tom Masella",0,4.88679733962753e-07,2,6.1232318662154e-05,"White",TRUE
"692","Randy Bates",0,4.88679733962753e-07,2,0.000417544720138723,"White",TRUE
"693","George Darlington",0,4.88679733962753e-07,1,2.43767668334658e-06,"White",TRUE
"694","Tommy Spangler",0,4.88679733962753e-07,2,0.000526968347601259,"White",TRUE
"695","Blake Baker",0,4.88679733962753e-07,2,0.000154422422817654,"White",TRUE
"696","Mike Gillhamer",0,4.88679733962753e-07,1,1.53766392844722e-05,"White",TRUE
"697","Kevin Wolthausen",0,4.88679733962753e-07,1,1.53766392844741e-05,"White",TRUE
"698","Vance Bedford",0,4.88679733962753e-07,2,0.00135784037562095,"Black",TRUE
"699","Cort Dennison",0,4.88679733962753e-07,1,9.87462964373716e-06,"White",TRUE
"700","Daronte Jones",0,4.88679733962753e-07,1,0.000127762765239168,"Black",TRUE
"701","Bill Wilt",0,4.88679733962753e-07,1,3.69161090386042e-06,"White",TRUE
"702","Jim Collins",0,4.88679733962753e-07,1,3.18914915121336e-05,"White",TRUE
"703","Steve Dunlap",0,4.88679733962753e-07,4,2.829503578604e-05,"White",TRUE
"704","Chris Rippon",0,4.88679733962753e-07,2,4.33721295439313e-05,"White",TRUE
"705","J C  Price",0,4.88679733962753e-07,1,2.135732258027e-05,"White",NA
"706","Lance Guidry",0,4.88679733962753e-07,2,8.42211353033088e-05,"White",TRUE
"707","Wally Ake",0,4.88679733962753e-07,1,8.42880341641608e-06,"White",TRUE
"708","Todd Bradford",0,4.88679733962753e-07,3,0.000514788653966042,"White",TRUE
"709","Keith Dudzinski",0,4.88679733962753e-07,1,3.60951991116394e-05,"White",TRUE
"710","Jimmy Brumbaugh",0,4.88679733962753e-07,2,4.47203392997581e-05,"Black",TRUE
"711","Brian Williams",0,4.88679733962753e-07,1,4.21336694004538e-05,"Black",TRUE
"712","Ed Pinkham",0,4.88679733962753e-07,3,0.000169932246663139,"White",TRUE
"713","Aazaar Abdul Rahim",0,4.88679733962753e-07,1,5.12604600942232e-06,"White",NA
"714","Tommy Restivo",0,4.88679733962753e-07,1,1.53781380282961e-05,"White",TRUE
"715","Rick Whitt",0,4.88679733962753e-07,1,1.33089277201363e-05,"White",TRUE
"716","Joe Lee Dunn",0,4.88679733962753e-07,3,4.20900289259442e-05,"White",TRUE
