"","College","Coach","Role","Race","year_start","year_end"
"311","Hawai'i","Victor Santa Cruz","Defensive Coordinator","Other",2020,2020
"312","Houston","Dick Bumpas","Defensive Coordinator/Defensive Line Coach","White",2000,2002
"313","Houston","Mark Stoops","Defensive Coordinator/Safeties Coach","White",2000,2000
"314","Houston","Bradley Dale Peveto","Defensive Coordinator/Safeties Coach","White",2001,2002
"315","Houston","Ron Harris","Defensive Coordinator/Defensive Backs Coach","White",2003,2005
"316","Houston","Alan Weddell","Defensive Coordinator/Inside Linebackers Coach","White",2006,2007
"317","Houston","John Skladany","Defensive Coordinator/Safeties Coach","White",2008,2009
"318","Houston","Brian Stewart","Defensive Coordinator/Cornerbacks Coach","Black",2010,2011
"319","Houston","Jamie Bryant","Defensive Coordinator/Linebackers Coach","White",2012,2012
"320","Houston","David Gibbs","Defensive Coordinator","White",2013,2014
"321","Houston","Todd Orlando","Defensive Coordinator/Linebackers Coach","White",2015,2016
"322","Houston","Craig Naivar","Defensive Coordinator/Safeties Coach","White",2016,2016
"323","Houston","Clay Jennings","Defensive Coordinator/Defensive Backs Coach","Black",2017,2017
"324","Houston","Mark D'Onofrio","Defensive Coordinator/Inside Linebackers Coach","White",2017,2018
"325","Houston","Doug Belk","Defensive Coordinator/Safeties Coach","Black",2019,2019
"326","Houston","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White",2019,2020
